source;entry_type;document_type;title;authors;year;doi;url;abstract;keywords;journal;booktitle;publisher;pages
ieee;;IEEE Conferences;Cloud Ecosystems Support for Internet of Things and DevOps Using Patterns;"M. H. Syed; E. B. Fernandez";2016;10.1109/IoTDI.2015.31;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7471379;An ecosystem is the expansion of a software product line architecture to include systems outside the product which interact with the product. A cloud ecosystem includes interdependent and communicating components. Not only the cloud ecosystem itself keeps evolving, but it also affects the way in which we develop and deploy software. We model the architecture of a cloud ecosystem as a set of patterns, showing partial descriptions for some of them. We then discuss the role of this evolving platform in facilitating the Internet of Things and the new DevOps framework for developing software.;"Software ecosystems;Internet of Things;cloud computing;fog computing;software containers;DevOps;reference architectures";;2016 IEEE First International Conference on Internet-of-Things Design and Implementation (IoTDI);IEEE;
ieee;;IEEE Conferences;Automated deployment of SmartX IoT-cloud services based on continuous integration;"J. Bae; C. Kim; J. Kim";2016;10.1109/ICTC.2016.7763372;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7763372;Since convergence of IoT and Cloud, IoT-Cloud, has potential to provide futuristic IT services, there are many research about IoT-Cloud service. To keep pace with trend, we are studying and developing IoT-Cloud service. Goal of this service is reducing power consumption in server room. To design this service, we use microservice. Since it is set of inter-connection of functions, frequent verification is important. Therefore, we adopt Continuous Integration (CI). It is designed to build and running service in testbed automatically. It reduces integration effort. In this paper, we introduce our experience in automated deployment of SmartX IoT-Cloud services based on CI.;"DevOps;Continuous Integration;Internet of Things;Cloud;IoT-Cloud;IoT-Cloud service";;2016 International Conference on Information and Communication Technology Convergence (ICTC);IEEE;
ieee;;IEEE Conferences;DevOps for IoT Applications Using Cellular Networks and Cloud;"A. Karapantelakis; H. Liang; K. Wang; K. Vandikas; R. Inam; E. Fersman; I. Mulas-Viela; N. Seyvet; V. Giannokostas";2016;10.1109/FiCloud.2016.55;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7575883;"The Internet of Things (IoT) is a vision of a future society where an ever-increasing number of heterogeneous physical devices (""things"") obtain Internet connectivity, thus enabling a large number of applications for a broad range of industries and society at large. Mobile network operators, expected to provide the network infrastructure for many of these applications, face an unprecedented level of complexity. This complexity not only relates to the number of applications that share the network infrastructure, but also to the different network Quality of Service (QoS) requirements these applications have. To achieve economies of scale, automation in management of those applications throughout their lifecycle is essential. In this paper, we propose an architecture that automates allocation, monitoring and deallocation of both cloud and cellular network resources to ensure QoS for applications that involve connected devices communicating with cloud-hosted software. We describe an implementation of this architecture using a combination of open source, commercial, and custom components and evaluate it through a series of measurements. Results show that our implementation can simultaneously support mobile broadband and low latency, high availability mission-critical applications.";"5G;Cloud;Internet of Things;Network Slicing;DevOps;Resource Orchestration;Automation";;2016 IEEE 4th International Conference on Future Internet of Things and Cloud (FiCloud);IEEE;
ieee;;IEEE Conferences;An experimental continuous delivery framework for SmartX-mini IoT-cloud playground;"J. Bae; J. Kim";2016;10.1109/ICOIN.2016.7427129;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427129;Internet of Things (IoT), one of the hottest research targets, needs the systematic leverage from cloud-centric ICT infrastructure. Among several challenges for fast and economic IoT-Cloud service enablement, the continuous integration and delivery (CI/CD) framework is one of commonly wanted capabilities. In this paper, we introduce early experience with deploying an experimental continuous delivery framework for SmartX-mini IoT-Cloud Playground.;"Continuous integration and delivery;software-defined infrastructure;SDN/NFV/Cloud integration;IoT-Cloud software framework;Internet of Things";;2016 International Conference on Information Networking (ICOIN);IEEE;
ieee;;IEEE Conferences;Template-based automation with distributed secure provisioning installer for remote cloud boxes;"J. -S. Shin; J. Kim";2016;10.1109/ICTC.2016.7763428;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7763428;The emerging edge computing concept with μClοud boxes, in charge of front-end data processing for remote large-scale cloud data centers, is addressing the delay and efficiency concerns for IoT-Cloud services. The infrastructure operators of IoT-Cloud services require several provisioning tools to handle a number of cloud boxes across multiple remote sites. The resulting open-source software provisioning tools should support automated installation and configuration for remote cloud boxes, albeit with flexibility and scalability. Thus, in this paper, we discuss our ongoing DevOps-based realization for DsP-Installer (Distributed Secure Provisioning Installer), which automates the template-based installation and configuration for remote cloud boxes.;"IoT-Cloud services;OpenStack cloud;DevOps-based automated provision;Open-Source software";;2016 International Conference on Information and Communication Technology Convergence (ICTC);IEEE;
ieee;;IEEE Conferences;Preparing and Inter-Connecting Hyper-Converged SmartX Boxes for IoT-Cloud Testbed;"S. Park; B. Cha; J. Kim";2016;10.1109/AINA.2015.255;https://ieeexplore.ieee.org/document/7098040;The focusing concept of Internet of Things (IoT) is quickly changing from inter-connecting uniquely-identifiable embedded devices to 'things as a service'. Thus, diverse IoT services are being incubated by software-driven frameworks and shared/virtual/programmable resources. As a beginning step, in this paper, we discuss how to prepare and inter-connect hyper-converged SmartX Boxes so that it can play the miniaturized playground for IoT-Cloud service realization.;;;;;
ieee;;IEEE Conferences;Privacy-Based Deployments: The Role of DevPrivOps in 6G Mobile Networks;C. Silva, V. A. Cunha, J. P. Barraca and P. Salvador;2024;10.1109/MCOM.004.2300405;ieeexplore.ieee.org/document/10384629;;;;;;
ieee;;IEEE Conferences;Enabling operation data visibility for SmartX-mini IoT-cloud playground;"S. Kim; J. Kim";2016;10.1109/NETSOFT.2016.7502480;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7502480;SmartX-mini playground is a miniaturized IoT-Cloud environment, where DevOps-based automation can be practiced to develop and operate various IoT-Cloud services. Enabling visibility over the targeted playground is critical for the automated operation and effective resource utilization. Thus, in this paper, by leveraging various open-source software tools over small-size boxes, we design and prototype operation data visibility for SmartX-mini IoT-Cloud playground. Typically, we focus on open-source Kafka and Spark to meet the operation data visibility requirements of SmartX-mini playground. Scenario-driven experiments are executed to evaluate the analysis capability for distributed IoT boxes.;"Testbed and playground;IoT-Cloud services;operation data visibility;instrumentation and measurement";;2016 IEEE NetSoft Conference and Workshops (NetSoft);IEEE;
ieee;;IEEE Conferences;Towards DevOps in the Embedded Systems Domain: Why is It So Hard?;"L. E. Lwakatare; T. Karvonen; T. Sauvola; P. Kuvaja; H. H. Olsson; J. Bosch; M. Oivo";2016;10.1109/HICSS.2016.671;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427859;DevOps is a predominant phenomenon in the web domain. Its two core principles emphasize collaboration between software development and operations, and the use of agile principles to manage deployment environments and their configurations. DevOps techniques, such as collaboration and behaviour-driven monitoring, have been used by web companies to facilitate continuous deployment of new functionality to customers. The techniques may also offer opportunities for continuous product improvement when adopted in the embedded systems domain. However, certain characteristics of embedded software development present obstacles for DevOps adoption, and as yet, there is no empirical evidence of its adoption in the embedded systems domain. In this study, we present the challenges for DevOps adoption in embedded systems using a multiple-case study approach with four companies. The contribution of this paper is to introduce the concept of DevOps adoption in the embedded systems domain and then to identify key challenges for the DevOps adoption.;"DevOps;continuous deployment;embedded systems";;2016 49th Hawaii International Conference on System Sciences (HICSS);IEEE;
ieee;;IEEE Journals;On the fading of organizational interfaces in the era of Internet-of-Things;F. Lustenberger;2016;10.1109/EMR.2016.2530642;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448777;THE previous article discussed the adaptation from a Greek temple structure to the tightly packed atomic structure, when tackling the organizational issues related to the transformation of a (hardware) product centric company to the business-driven entity. It turned out that tight interaction is necessary if fast- evolving data-driven business services or software products are to be developed and marketed. Therefore, it might be interesting to investigate a unique approach nowadays often used in the software world: DevOps, a term first forged by Andrew Clay Shafer and Patrick Debois at the Agile 2008 conference [1].;;;IEEE Engineering Management Review;IEEE;
