source;entry_type;document_type;title;authors;year;doi;url;abstract;keywords;journal;booktitle;publisher;pages
scopus;;Conference paper;DevOps for the urban IoT;"Moore J.; Kortuem G.; Smith A.; Chowdhury N.; Cavero J.; Gooch D.";2016;10.1145/2962735.2962747;https://www.scopus.com/pages/publications/84985914450?origin=resultslist;Choosing the right technologies to build an urban-scale IoT system can be challenging. There is often a focus on low-level architectural details such as the scalability of message handling. In our experience building an IoT information system requires a high-level holistic approach that mixes traditional data collection from vendor-specific cloud backends, together with data collected directly from embedded hardware and mobile devices. Supporting this heterogeneous environment can prove challenging and lead to complex systems that are difficult to develop and deploy in a timely fashion. In this paper we describe how we address these challenges by proposing a three-tiered DevOps model which we used to build an information system that is capable of providing real-time analytics of Electric Vehicle (EV) mobility usage and management within a smart city project. © 2016 ACM.;;ACM International Conference Proceeding Series;;;
scopus;;Conference paper;IoT testing - The big challenge why, what and how;Sand B.;2016;10.1007/978-3-319-47075-7_9;https://www.scopus.com/pages/publications/85009794039?origin=resultslist;“Internet of Things” (IoT) is the network or associations between those Internets connected objects (smart Devices) that are able to exchange information by using an agreed method and data schema. The enormous amount of things, the communication protocols the combination between hardware and software, the Big Data impact, a verity of protocols, lack of standards and the high level of the required SLA by the end users set up new and challenging bars regarding QA in general and testing in particular in the IoT scene. This article will highlight the challenges as well as address potential strategies and solutions. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2016.;;Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST;;;
scopus;;Conference paper;Automated deployment of SmartX IoT-cloud services based on continuous integration;"Bae J.; Kim C.; Kim J.";2016;10.1109/ICTC.2016.7763372;https://www.scopus.com/pages/publications/85015804380?origin=resultslist;Since convergence of IoT and Cloud, IoT-Cloud, has potential to provide futuristic IT services, there are many research about IoT-Cloud service. To keep pace with trend, we are studying and developing IoT-Cloud service. Goal of this service is reducing power consumption in server room. To design this service, we use microservice. Since it is set of inter-connection of functions, frequent verification is important. Therefore, we adopt Continuous Integration (CI). It is designed to build and running service in testbed automatically. It reduces integration effort. In this paper, we introduce our experience in automated deployment of SmartX IoT-Cloud services based on CI. © 2016 IEEE.;;2016 International Conference on Information and Communication Technology Convergence, ICTC 2016;;;
scopus;;Conference paper;The imperative to develop digitization patterns for enterprises;Stäbler A.;2016;;https://www.scopus.com/pages/publications/85131165570?origin=resultslist;"The imperative to develop digitization patterns for enterprises, organizations, institutions, hospitals etc. highlights that all branches have a similar tasks and according to these tasks similar questions and challenges. The never ending transition process to digitalize enterprises which at the end means ""to automate tasks more and more based on stochastic decisions"", raises up always similar questions: What should we do first? What are the quick wins? How to get emerging technology under cost and lifecycle control? How to establish which clouds (hybrid, enabled or native?) to provide the technological basics to enable business cases like Industry 4.0, Big Data, IoT, smart home etc. consuming technological features like scaling and methods/technics like continuous delivery? © 2016 Gesellschaft fur Informatik (GI). All rights reserved.";;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);;;
scopus;;Article;Network Devops solution for creating new network services;"Takimoto M.; Komine H.; Tamura K.";2016;;https://www.scopus.com/pages/publications/84964237544?origin=resultslist;"Fujitsu has systematized its experience and expertise in DevOps (a portmanteau of ""development"" and ""operations"") into a cloud solution that integrates products and services on the basis of software-defined networking (SDN) and network functions virtualization (NFV). This Network DevOps Solution provides telecom carriers with network development and operations management systems and enables them to independently improve their systems and achieve flexible operations management by combining Fujitsu's network platforms, management system products, and partner products. Customers can then quickly respond to changing market needs and continuously enhance their service quality. These abilities will be crucial for carriers as network users' needs increasingly diversify and the demand for new network services multiplies in the era of the Internet of Things (IoT). This paper outlines this Network DevOps Solution, describes application examples, and discusses future development.";;Fujitsu Scientific and Technical Journal;;;
scopus;;Conference paper;Towards DevOps in the embedded systems domain: Why is it so hard?;"Lwakatare L.E.; Karvonen T.; Sauvola T.; Kuvaja P.; Olsson H.H.; Bosch J.; Oivo M.";2016;10.1109/HICSS.2016.671;https://www.scopus.com/pages/publications/84975460866?origin=resultslist;DevOps is a predominant phenomenon in the web domain. Its two core principles emphasize collaboration between software development and operations, and the use of agile principles to manage deployment environments and their configurations. DevOps techniques, such as collaboration and behaviour-driven monitoring, have been used by web companies to facilitate continuous deployment of new functionality to customers. The techniques may also offer opportunities for continuous product improvement when adopted in the embedded systems domain. However, certain characteristics of embedded software development present obstacles for DevOps adoption, and as yet, there is no empirical evidence of its adoption in the embedded systems domain. In this study, we present the challenges for DevOps adoption in embedded systems using a multiple-case study approach with four companies. The contribution of this paper is to introduce the concept of DevOps adoption in the embedded systems domain and then to identify key challenges for the DevOps adoption. © 2016 IEEE.;;Proceedings of the Annual Hawaii International Conference on System Sciences;;;
scopus;;Conference paper;DevOps for IoT applications using cellular networks and cloud;"Karapantelakis A.; Liang H.; Wang K.; Vandikas K.; Inam R.; Fersman E.; Mulas-Viela I.; Seyvet N.; Giannokostas V.";2016;10.1109/FiCloud.2016.55;https://www.scopus.com/pages/publications/84992036313?origin=resultslist;The Internet of Things (IoT) is a vision of a future society where an ever-increasing number of heterogeneous physical devices ('things') obtain Internet connectivity, thus enabling a large number of applications for a broad range of industries and society at large. Mobile network operators, expected to provide the network infrastructure for many of these applications, face an unprecedented level of complexity. This complexity not only relates to the number of applications that share the network infrastructure, but also to the different network Quality of Service (QoS) requirements these applications have. To achieve economies of scale, automation in management of those applications throughout their lifecycle is essential. In this paper, we propose an architecture that automates allocation, monitoring and deallocation of both cloud and cellular network resources to ensure QoS for applications that involve connected devices communicating with cloud-hosted software. We describe an implementation of this architecture using a combination of open source, commercial, and custom components and evaluate it through a series of measurements. Results show that our implementation can simultaneously support mobile broadband and low latency, high availability mission-critical applications. © 2016 IEEE.;;Proceedings - 2016 IEEE 4th International Conference on Future Internet of Things and Cloud, FiCloud 2016;;;
scopus;;Article;On the fading of organizational interfaces in the era of Internet-of-Things;Lustenberger F.;2016;10.1109/EMR.2016.2530642;https://www.scopus.com/pages/publications/84964331231?origin=resultslist;THE previous article discussed the adaptation from a Greek temple structure to the tightly packed atomic structure, when tackling the organizational issues related to the transformation of a (hardware) product centric company to the business-driven entity. It turned out that tight interaction is necessary if fast- evolving data-driven business services or software products are to be developed and marketed. Therefore, it might be interesting to investigate a unique approach nowadays often used in the software world: DevOps, a term first forged by Andrew Clay Shafer and Patrick Debois at the Agile 2008 conference [1]. © 1973-2011 IEEE.;;IEEE Engineering Management Review;;;
scopus;;Conference paper;Cloud ecosystems support for internet of things and DevOps using patterns;"Syed M.H.; Fernandez E.B.";2016;10.1109/IoTDI.2015.31;https://www.scopus.com/pages/publications/84977609466?origin=resultslist;An ecosystem is the expansion of a software product line architecture to include systems outside the product which interact with the product. A cloud ecosystem includes interdependent and communicating components. Not only the cloud ecosystem itself keeps evolving, but it also affects the way in which we develop and deploy software. We model the architecture of a cloud ecosystem as a set of patterns, showing partial descriptions for some of them. We then discuss the role of this evolving platform in facilitating the Internet of Things and the new DevOps framework for developing software. © 2016 IEEE.;;Proceedings - 2016 IEEE 1st International Conference on Internet-of-Things Design and Implementation, IoTDI 2016;;;
scopus;;Article;FUTURE SKILLS;Evans N.D.;2016;10.1093/itnow/bww022;https://www.scopus.com/pages/publications/84969811707?origin=resultslist;In conclusion, there are now a rich set of future skills in which to specialise for those entering, or already working in, the IT arena. Whether it's a focus on specifi c technology enablers such as robotics or the IoT, or a focus on specifi c techniques such as agile and DevOps, these skills will become more and more critical in the years ahead as organisations invest in scaling up their digital transformation initiatives. These organisations will look to IT professionals to provide compelling, dierentiated solutions that enhance the digital customer experience, improve operations, and which can be designed and deployed in an agile manner. Finally, since business and IT strategy will determine and drive these future skill needs, capabilities in strategic planning, innovation management, enterprise architecture, program management, and change management will also be essential to pull everything together and execute on the overall transformation. IT professionals will be able to choose whether to go deep in terms of specialising in a specifi c technology or capability, or whether to go wide in terms of specialising in the broader perspective of how all these elements come together from a strategy and execution standpoint to enable the next generation of digital business solutions. © 2016 The British Computer Society.;;ITNOW;;;
