source;entry_type;document_type;title;authors;year;doi;url;abstract;keywords;journal;booktitle;publisher;pages
wos;;Proceedings Paper;Towards DevOps in the Embedded Systems Domain: Why is It so Hard?;"Lwakatare, LE; Karvonen, T; Sauvola, T; Kuvaja, P; Olsson, HH; Bosch, J; Oivo, M";2016;10.1109/HICSS.2016.671;http://dx.doi.org/10.1109/HICSS.2016.671;DevOps is a predominant phenomenon in the web domain. Its two core principles emphasize collaboration between software development and operations, and the use of agile principles to manage deployment environments and their configurations. DevOps techniques, such as collaboration and behaviour-driven monitoring, have been used by web companies to facilitate continuous deployment of new functionality to customers. The techniques may also offer opportunities for continuous product improvement when adopted in the embedded systems domain. However, certain characteristics of embedded software development present obstacles for DevOps adoption, and as yet, there is no empirical evidence of its adoption in the embedded systems domain. In this study, we present the challenges for DevOps adoption in embedded systems using a multiple-case study approach with four companies. The contribution of this paper is to introduce the concept of DevOps adoption in the embedded systems domain and then to identify key challenges for the DevOps adoption.;DEPLOYMENT;PROCEEDINGS OF THE 49TH ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES (HICSS 2016);;;
wos;;Proceedings Paper;Cloud Ecosystems support for Internet of Things and DevOps using Patterns;"Syed, MH; Fernandez, EB";2016;10.1109/IoTDI.2015.31;http://dx.doi.org/10.1109/IoTDI.2015.31;An ecosystem is the expansion of a software product line architecture to include systems outside the product which interact with the product. A cloud ecosystem includes interdependent and communicating components. Not only the cloud ecosystem itself keeps evolving, but it also affects the way in which we develop and deploy software. We model the architecture of a cloud ecosystem as a set of patterns, showing partial descriptions for some of them. We then discuss the role of this evolving platform in facilitating the Internet of Things and the new DevOps framework for developing software.;SECURITY;PROCEEDINGS 2016 IEEE FIRST INTERNATIONAL CONFERENCE ON INTERNET-OF-THINGS DESIGN AND IMPLEMENTATION IOTDI 2016;;;
wos;;Proceedings Paper;DevOps for the Urban IoT;"Moore, J; Kortuem, G; Smith, A; Chowdhury, N; Cavero, J; Gooch, D";2016;10.1145/2962735.2962747;http://dx.doi.org/10.1145/2962735.2962747;Choosing the right technologies to build an urban-scale IoT system can be challenging. There is often a focus on low-level architectural details such as the scalability of message handling. In our experience building an IoT information system requires a high-level holistic approach that mixes traditional data collection from vendor-specific cloud backends, together with data collected directly from embedded hardware and mobile devices. Supporting this heterogeneous environment can prove challenging and lead to complex systems that are difficult to develop and deploy in a timely fashion. In this paper we describe how we address these challenges by proposing a three-tiered DevOps model which we used to build an information system that is capable of providing real-time analytics of Electric Vehicle (EV) mobility usage and management within a smart city project.;"STANDARDS; INTERNET";SECOND INTERNATIONAL CONFERENCE ON IOT IN URBAN SPACE (URB-IOT 2016);;;
wos;;Proceedings Paper;An Experimental Continuous Delivery Framework for SmartX-mini IoT-Cloud Playground;"Bae, J; Kim, J";2016;;;Internet of Things (IoT), one of the hottest research targets, needs the systematic leverage from cloud-centric ICT infrastructure. Among several challenges for fast and economic IoT-Cloud service enablement, the continuous integration and delivery (CI/CD) framework is one of commonly wanted capabilities. In this paper, we introduce early experience with deploying an experimental continuous delivery framework for SmartX-mini IoT-Cloud Playground.;;2016 INTERNATIONAL CONFERENCE ON INFORMATION NETWORKING (ICOIN);;;
wos;;Article;Network DevOps Solution for Creating New Network Services;"Takimoto, M; Komine, H; Tamura, K";2016;;;Fujitsu has systematized its experience and expertise in DevOps (a portmanteau of development and operations) into a cloud solution that integrates products and services on the basis of software-defined networking (SDN) and network functions virtualization (NFV). This Network DevOps Solution provides telecom carriers with network development and operations management systems and enables them to independently improve their systems and achieve flexible operations management by combining Fujitsu's network platforms, management system products, and partner products. Customers can then quickly respond to changing market needs and continuously enhance their service quality. These abilities will be crucial for carriers as network users' needs increasingly diversify and the demand for new network services multiplies in the era of the Internet of Things (IoT). This paper outlines this Network DevOps Solution, describes application examples, and discusses future development.;;FUJITSU SCIENTIFIC & TECHNICAL JOURNAL;;;
wos;;Proceedings Paper;Enabling Operation Data Visibility for SmartX-mini IoT-Cloud Playground;"Kim, S; Kim, J";2016;;;SmartX-mini playground is a miniaturized IoT-Cloud environment, where DevOps-based automation can be practiced to develop and operate various IoT-Cloud services. Enabling visibility over the targeted playground is critical for the automated operation and effective resource utilization. Thus, in this paper, by leveraging various open-source software tools over small-size boxes, we design and prototype operation data visibility for SmartX-mini IoT-Cloud playground. Typically, we focus on open-source Kafka and Spark to meet the operation data visibility requirements of SmartX-mini playground. Scenario-driven experiments are executed to evaluate the analysis capability for distributed IoT boxes.;;2016 IEEE NETSOFT CONFERENCE AND WORKSHOPS (NETSOFT);;;
wos;;Proceedings Paper;Template-based Automation with Distributed Secure Provisioning Installer for Remote Cloud Boxes;"Shin, JS; Kim, J";2016;;;The emerging edge computing concept with Cloud boxes, in charge of front-end data processing for remote large-scale cloud data centers, is addressing the delay and efficiency concerns for IoT-Cloud services. The infrastructure operators of IoT-Cloud services require several provisioning tools to handle a number of cloud boxes across multiple remote sites. The resulting open-source software provisioning tools should support automated installation and configuration for remote cloud boxes, albeit with flexibility and scalability. Thus, in this paper, we discuss our ongoing DevOps-based realization for DsP-Installer (Distributed Secure Provisioning Installer), which automates the template based installation and configuration for remote cloud boxes.;;2016 INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY CONVERGENCE (ICTC 2016): TOWARDS SMARTER HYPER-CONNECTED WORLD;;;
wos;;Proceedings Paper;DevOps for IoT Applications using Cellular Networks and Cloud;"Karapantelakis, A; Liang, HX; Wang, K; Vandikas, K; Inam, R; Fersman, E; Mulas-Viela, I; Seyvet, N; Giannokostas, V";2016;10.1109/FiCloud.2016.55;http://dx.doi.org/10.1109/FiCloud.2016.55;The Internet of Things (IoT) is a vision of a future society where an ever-increasing number of heterogeneous physical devices (things) obtain Internet connectivity, thus enabling a large number of applications for a broad range of industries and society at large. Mobile network operators, expected to provide the network infrastructure for many of these applications, face an unprecedented level of complexity. This complexity not only relates to the number of applications that share the network infrastructure, but also to the different network Quality of Service (QoS) requirements these applications have. To achieve economies of scale, automation in management of those applications throughout their lifecycle is essential. In this paper, we propose an architecture that automates allocation, monitoring and deallocation of both cloud and cellular network resources to ensure QoS for applications that involve connected devices communicating with cloud-hosted software. We describe an implementation of this architecture using a combination of open source, commercial, and custom components and evaluate it through a series of measurements. Results show that our implementation can simultaneously support mobile broadband and low latency, high availability mission-critical applications.;INTERNET;2016 IEEE 4TH INTERNATIONAL CONFERENCE ON FUTURE INTERNET OF THINGS AND CLOUD (FICLOUD 2016);;;
wos;;Proceedings Paper;Verification and Validation Framework for 5G Network Services and Apps;"Zhao, MX; Le Gall, F; Cousin, P; Vilalta, R; Muñoz, R; Castro, S; Peuster, M; Schneider, S; Siapera, M; Kapassa, E; Kyriazis, D; Hasselmeyer, P; Xilouris, G; Tranoris, C; Denazis, S; Martrat, J";2017;;;5G does not only aim at higher capacity and lower latency than current 4G in mobile broadband networks, but also to increase the level of programmability, control and flexibility to meet the requirements from innovative use cases such as IoT, smart manufacturing, and immersive media. However, several difficulties still need to be overcome for a better technological adoption. To reduce the time-to-market for networked services and to lower the entry barrier to third party developers of VNFs and network services, an integrated development and operations (DevOps) methodology is a promising way. One of the biggest challenges in upcoming 5G DevOps is the validation and verification (V&V) of individual VNFs and network services (VNF graphs) so that operators can be sure of their behavior. In this paper, we propose an NFV architecture that supports the DevOps methodology with a V&V platform and an advanced NFV catalogue. The conceptual components of the V&V platform, the foreseen methodology and the outcomes are explained. Finally, we explore some perspectives in applying such V&V approach in another 5G research project.;;2017 IEEE CONFERENCE ON NETWORK FUNCTION VIRTUALIZATION AND SOFTWARE DEFINED NETWORKS (NFV-SDN);;;
wos;;Proceedings Paper;Monitoring V2X Applications using DevOps and Docker;"Rufino, J; Alam, M; Ferreira, J";2017;;;Vehicular communications are gaining one of the largest share of the automotive IoT market. The combination of the automotive sector with the transportation resulted in the emergence of the concept of connected vehicles. Therefore, motivating new proposals for real-time applications for managing traffic and incident alerts to improve the overall mobility and road safety. The growing demand for new and better solutions lead to two of the biggest challenges faced in IoT - scalability and interoperability. Therefore in this paper, we propose an highly modular and easily distributable architecture built upon DevOps practices and relying on edge computing to enable V2X applications to be easily deployed and monitored in real-time. The architecture was implemented and a vehicular application was divided in small modules to validate the functionalities of the proposed architecture.;;2017 INTERNATIONAL SMART CITIES CONFERENCE (ISC2);;;
