Export Source,entry_type,entry_key,author,title,year,isbn,publisher,url,doi,abstract,booktitle,pages,numpages,keywords,location,series,articleno,address,issue_date,volume,number,issn,journal
acm-20260429,inproceedings,10.1109/ASE51524.2021.9678918,"Cordeiro, Marcello and Silva, Denini and Teixeira, Leopoldo and Miranda, Breno and d'Amorim, Marcelo",Shaker: a tool for detecting more flaky tests faster,2022,9781665403375,IEEE Press,https://doi.org/10.1109/ASE51524.2021.9678918,10.1109/ASE51524.2021.9678918,"A test case that intermittently passes or fails when performed under the same version of source code and test code is said to be flaky. The presence of flaky tests wastes testing time and effort. The most popular approach in industry to detect flakiness is ReRun. The idea behind ReRun is very simple: failing test cases are re-executed many times looking for inconsistencies in the output. Despite its simplicity, the ReRun strategy is very expensive both in terms of time and in terms of computational resources. This is particularly true for contexts where thousands of test cases are performed on a daily basis. Reducing the rerunning overhead is, thus, of utmost importance. This paper presents Shaker, an open-source tool for detecting flakiness in time-constrained tests by adding noise in the execution environment. The main idea behind Shaker is to add stressing tasks that compete with the test execution for the use of resources (CPU or memory). Shaker is available as a GitHub Actions workflow that can be seamlessly integrated with any GitHub project. Alternatively, Shaker can also be used via its provided Command Line Interface. In our evaluation, Shaker was able to discover more flaky tests than ReRun and in a faster way (less re-executions); besides, our approach revealed tens of new flaky tests that went undetected by ReRun even after 50 re-executions. Thanks to its flexibility and ease of use, we believe that Shaker can be useful for both practitioners and researchers.Demo video: https://youtu.be/7-aiQwOb4rAShaker website: https://star-rg.github.io/shaker",Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering,1281–1285,5,"software testing, regression testing, continuous integration","Melbourne, Australia",ASE '21,,,,,,,
acm-20260429,inproceedings,10.1109/ASE56229.2023.00154,"Birchler, Christian and Rohrbach, Cyrill and Kim, Hyeongkyun and Gambi, Alessio and Liu, Tianhai and Horneber, Jens and Kehrer, Timo and Panichella, Sebastiano",TEASER: Simulation-based CAN Bus Regression Testing for Self-driving Cars Software,2024,9798350329964,IEEE Press,https://doi.org/10.1109/ASE56229.2023.00154,10.1109/ASE56229.2023.00154,"Safety-critical systems such as self-driving cars (SDCs) must be rigorously tested. Especially electronic control units (ECUs) of SDCs should be tested with realistic input data. In this context, a communication protocol called Controller Area Network (CAN) is typically used to transfer sensor data to the SDC control units. A challenge for SDC maintainers and testers is the need to manually define the CAN inputs that realistically represent the state of the SDC in the real world. To address this challenge, we developed TEASER; a tool that generates realistic CAN signals for SDCs obtained from sensors from state-of-the-art car simulators. We evaluated TEASER based on its integration capability into a DevOps pipeline of aicas GmbH, a company in the automotive sector. Concretely, we integrated TEASER in a Continous Integration (CI) pipeline configured with Jenkins. The pipeline executes the test cases in simulation environments and sends the sensor data over the CAN bus to a physical CAN device, the test subject. Our evaluation shows the ability of TEASER to generate and execute CI test cases that expose simulation-based faults (using regression strategies); the tool produces CAN inputs that realistically represent the state of the SDC in the real world. This result is critically important for increasing the automation and effectiveness of simulation-based CAN bus regression testing for SDCs.Tool: https://doi.org/10.5281/zenodo.7964890GitHub: https://github.com/christianbirchler-org/sdc-scissor/releases/tag/v2.2.0-rc.1Documentation: https://sdc-scissor.readthedocs.io",Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,2058–2061,4,"autonomous systems, regression testing, simulation environment, CAN bus","Echternach, Luxembourg",ASE '23,,,,,,,
acm-20260429,inproceedings,10.1109/CCGRID.2018.00076,"Wang, Ping and Xu, Jingmin and Ma, Meng and Lin, Weilan and Pan, Disheng and Wang, Yuan and Chen, Pengfei",CloudRanger: root cause identification for cloud native systems,2018,9781538658154,IEEE Press,https://doi.org/10.1109/CCGRID.2018.00076,10.1109/CCGRID.2018.00076,"As more and more systems are migrating to cloud environment, the cloud native system becomes a trend. This paper presents the challenges and implications when diagnosing root causes for cloud native systems by analyzing some real incidents occurred in IBM Bluemix (a large commercial cloud). To tackle these challenges, we propose CloudRanger, a novel system dedicated for cloud native systems. To make our system more general, we propose a dynamic causal relationship analysis approach to construct impact graphs amongst applications without given the topology. A heuristic investigation algorithm based on second-order random walk is proposed to identify the culprit services which are responsible for cloud incidents. Experimental results in both simulation environment and IBM Bluemix platform show that CloudRanger outperforms some state-of-the-art approaches with a 10\% improvement in accuracy. It offers a fast identification of culprit services when an anomaly occurs. Moreover, this system can be deployed rapidly and easily in multiple kinds of cloud native systems without any predefined knowledge.","Proceedings of the 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",492–502,11,"anomaly detection, causality, cloud native systems, micro-service architecture, root cause analysis","Washington, District of Columbia",CCGrid '18,,,,,,,
acm-20260429,inproceedings,10.1109/DS-RT52167.2021.9576132,"Gowtham, Varun and Keil, Oliver and Yeole, Aniket and Schreiner, Florian and Tsch\""{o}ke, Simon and Willner, Alexander",Determining edge node real-time capabilities,2022,9781665433266,IEEE Press,https://doi.org/10.1109/DS-RT52167.2021.9576132,10.1109/DS-RT52167.2021.9576132,"The distributed Cloud Computing paradigm is continuously being adopted within the industrial automation domain. The most distinguishing feature of these Edge Clouds relates to their ability to provide low-latency and even hard realtime services. As infrastructure deployments can be rather heterogeneous in their nature, service providers require precise means for estimating end-to-end application latency behavior, in order to know performance boundaries that can be met for defining certain Service Level Agreements (SLAs). Although network performance tools exist for many years, mechanisms for assessing hard real-time performance of applications in distributed Edge Cloud environments have not been considered extensively yet. Therefore, we use a built-in feature of the Linux Kernel, the extended Berkeley Packet Filter (eBPF), to measure delays between targeted endpoints in the kernel stack, that enable the user to gain deeper and more accurate measurements of events as compared to generalized approaches (as accurate as eBPF / the time-stamping facility from the kernel). As a result, the real-time behavior of particular Edge Cloud deployments, including its hosted applications, can be profiled in detail by end-users as well as service-providers. Within our evaluation we have monitored a cyclic transmission of packets with a scheduled delay of under 190 μs and measured a round trip time under 2 ms. Future work include profiling the real-time behavior of potentially hosted time-critical applications, such as virtual Programmable Logic Controllers (vPLCs), over real-time networks, such Time Sensitive Networking (TSN); the extension towards dynamically configured real-time networks; and finally its application to future organic, self-optimizing Ultra-Reliable Low-Latency Communication 6G core networks.",Proceedings of the 2021 IEEE/ACM 25th International Symposium on Distributed Simulation and Real Time Applications,,9,"vPLC, edge computing, eBPF, TSN, PLC, NFV, IoT, Industry 4.0, IIoT","Valencia, Spain",DS-RT '21,21,,,,,,
acm-20260429,inproceedings,10.1109/ESEM.2017.18,"Shahin, Mojtaba and Babar, Muhammad Ali and Zahedi, Mansooreh and Zhu, Liming",Beyond continuous delivery: an empirical investigation of continuous deployment challenges,2017,9781509040391,IEEE Press,https://doi.org/10.1109/ESEM.2017.18,10.1109/ESEM.2017.18,"Context: A growing number of software organizations have been adopting Continuous DElivery (CDE) and Continuous Deployment (CD) practices. Researchers have started investing significant efforts in studying different aspects of CDE and CD. Many studies refer to CDE (i.e., where an application is potentially capable of being deployed) and CD (i.e., where an application is automatically deployed to production on every update) as synonyms and do not distinguish them from each other. Despite CDE being successfully adopted by a large number of organizations, it is not empirically known why organizations still are unable or demotivated to have automatic and continuous deployment (i.e., CD practice). Goal: This study aims at empirically investigating and classifying the factors that may impact on adopting and implementing CD practice. Method: We conducted a mixed-method empirical study consisting of interviewing 21 software practitioners, followed by a survey with 98 respondents. Results: Our study reveals 11 confounding factors that limit or demotivate software organizations to push changes automatically and continuously to production. The most important ones are ""lack of automated (user) acceptance test"", ""manual quality check"", ""deployment as business decision"", ""insufficient level of automated test coverage"", and ""highly bureaucratic deployment process"". Conclusion: Our findings highlight several areas for future research and provide suggestions for practitioners to streamline deployment process.",Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,111–120,10,"empirical study, continuous deployment, continuous delivery, DevOps","Markham, Ontario, Canada",ESEM '17,,,,,,,
acm-20260429,inproceedings,10.1109/ICGSE.2019.00036,"Florea, Raluca and Stray, Viktoria",A global view on the hard skills and testing tools in software testing,2019,,IEEE Press,https://doi.org/10.1109/ICGSE.2019.00036,10.1109/ICGSE.2019.00036,"Developing software with high quality is challenging in distributed software development. The purpose of the current study is to investigate the testing skills and tools required in the ever-changing world of global software engineering, according to industrial needs. We analysed 500 job ads from 33 countries. The results show that a quarter of the testers and a fifth of developers are asked to work in distributed projects. The testers are asked to be highly skilled in a variety of test activities and tools, while the testing-skills demand for developers is low and somewhat vague. The profile of testers has a strong technical component in addition to the managerial one. Our findings show that employers need most that testers are competent in automated testing. Furthermore, the industry does not cover all aspects of testing with the demand for testers and developers. Surprisingly, neither role is asked to test the implementation of the general data protection requirements. Our study bridges the industrial needs and the practitioners' skill development process. Therefore, software testers can use our study as a reference point to enhance their skills. Employers should use our results to check their testing-skill coverage within the development teams. Tertiary education providers are encouraged to use our findings, to update the curriculum in the software development area.",Proceedings of the 14th International Conference on Global Software Engineering,133–141,9,"GDPR, automated testing, global software engineering, manual testing, software testing skills, software testing tools, unit testing","Montreal, Quebec, Canada",ICGSE '19,,,,,,,
acm-20260429,inproceedings,10.1109/ICSE43902.2021.00015,"Park, Jihyeok and An, Seungmin and Youn, Dongjun and Kim, Gyeongwon and Ryu, Sukyoung",JEST: N+1-version Differential Testing of Both JavaScript Engines and Specification,2021,9781450390859,IEEE Press,https://doi.org/10.1109/ICSE43902.2021.00015,10.1109/ICSE43902.2021.00015,"Modern programming follows the continuous integration (CI) and continuous deployment (CD) approach rather than the traditional waterfall model. Even the development of modern programming languages uses the CI/CD approach to swiftly provide new language features and to adapt to new development environments. Unlike in the conventional approach, in the modern CI/CD approach, a language specification is no more the oracle of the language semantics because both the specification and its implementations (interpreters or compilers) can co-evolve. In this setting, both the specification and implementations may have bugs, and guaranteeing their correctness is non-trivial.In this paper, we propose a novel N+1-version differential testing to resolve the problem. Unlike the traditional differential testing, our approach consists of three steps: 1) to automatically synthesize programs guided by the syntax and semantics from a given language specification, 2) to generate conformance tests by injecting assertions to the synthesized programs to check their final program states, 3) to detect bugs in the specification and implementations via executing the conformance tests on multiple implementations, and 4) to localize bugs on the specification using statistical information. We actualize our approach for the JavaScript programming language via JEST, which performs N+1-version differential testing for modern JavaScript engines and ECMAScript, the language specification describing the syntax and semantics of JavaScript in a natural language. We evaluated JEST with four JavaScript engines that support all modern JavaScript language features and the latest version of ECMAScript (ES11, 2020). JEST automatically synthesized 1,700 programs that covered 97.78\% of syntax and 87.70\% of semantics from ES11. Using the assertion-injected JavaScript programs, it detected 44 engine bugs in four different engines and 27 specification bugs in ES11.",Proceedings of the 43rd International Conference on Software Engineering,13–24,12,"mechanized specification, differential testing, conformance test generation, JavaScript","Madrid, Spain",ICSE '21,,,,,,,
acm-20260429,inproceedings,10.1109/ICSE48619.2023.00024,"Guan, Hao and Xiao, Ying and Li, Jiaying and Liu, Yepang and Bai, Guangdong",A Comprehensive Study of Real-World Bugs in Machine Learning Model Optimization,2023,9781665457019,IEEE Press,https://doi.org/10.1109/ICSE48619.2023.00024,10.1109/ICSE48619.2023.00024,"Due to the great advance in machine learning (ML) techniques, numerous ML models are expanding their application domains in recent years. To adapt for resource-constrained platforms such as mobile and Internet of Things (IoT) devices, pre-trained models are often processed to enhance their efficiency and compactness, using optimization techniques such as pruning and quantization. Similar to the optimization process in other complex systems, e.g., program compilers and databases, optimizations for ML models can contain bugs, leading to severe consequences such as system crashes and financial loss. While bugs in training, compiling and deployment stages have been extensively studied, there is still a lack of systematic understanding and characterization of model optimization bugs (MOBs).In this work, we conduct the first empirical study to identify and characterize MOBs. We collect a comprehensive dataset containing 371 MOBs from TensorFlow and PyTorch, the most extensively used open-source ML frameworks, covering the entire development time span of their optimizers (May 2019 to August 2022). We then investigate the collected bugs from various perspectives, including their symptoms, root causes, life cycles, detection and fixes. Our work unveils the status quo of MOBs in the wild, and reveals their features on which future detection techniques can be based. Our findings also serve as a warning to the developers and the users of ML frameworks, and an appeal to our research community to enact dedicated countermeasures.",Proceedings of the 45th International Conference on Software Engineering,147–158,12,"bugs, model optimization, machine learning","Melbourne, Victoria, Australia",ICSE '23,,,,,,,
acm-20260429,inproceedings,10.1109/ICSE55347.2025.00184,"Hermann, Kevin and Peldszus, Sven and Stegh\""{o}fer, Jan-Philipp and Berger, Thorsten",An Exploratory Study on the Engineering of Security Features,2025,9798331505691,IEEE Press,https://doi.org/10.1109/ICSE55347.2025.00184,10.1109/ICSE55347.2025.00184,"Software security is of utmost importance for most software systems. Developers must systematically select, plan, design, implement, and especially, maintain and evolve security features—functionalities to mitigate attacks or protect personal data such as cryptography or access control—to ensure the security of their software. Although security features are usually available in libraries, integrating security features requires writing and maintaining additional security-critical code. While there have been studies on the use of such libraries, surprisingly little is known about how developers engineer security features, how they select what security features to implement and which ones may require custom implementation, and the implications for maintenance. As a result, we currently rely on assumptions that are largely based on common sense or individual examples. However, to provide them with effective solutions, researchers need hard empirical data to understand what practitioners need and how they view security—data that we currently lack. To fill this gap, we contribute an exploratory study with 26 knowledgeable industrial participants. We study how security features of software systems are selected and engineered in practice, what their code-level characteristics are, and what challenges practitioners face. Based on the empirical data gathered, we provide insights into engineering practices and validate four common assumptions.",Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,2470–2482,13,"security feature, software security, secure software development, security by design, developer study","Ottawa, Ontario, Canada",ICSE '25,,,,,,,
acm-20260429,inproceedings,10.1109/ICSE-C.2017.135,"V\""{o}st, Sebastian and Wagner, Stefan",Keeping continuous deliveries safe,2017,9781538615898,IEEE Press,https://doi.org/10.1109/ICSE-C.2017.135,10.1109/ICSE-C.2017.135,"Allowing swift release cycles, Continuous Delivery has become popular in application software development and is starting to be applied in safety-critical domains such as the automotive industry.These domains require thorough analysis regarding safety constraints, which can be achieved by the execution of safety tests resulting from a safety analysis on the product. With continuous delivery in place, such tests need to be executed with every build to ensure the latest software still fulfills all safety requirements. Even more though, the safety analysis has to be updated with every change to ensure the safety test suite is still up-to-date.We thus propose that a safety analysis should be treated no differently from other deliverables such as source-code and dependencies, propose guidelines to adopt this and formulate implications for the development process.",Proceedings of the 39th International Conference on Software Engineering Companion,259–261,3,"embedded software, software quality, software safety","Buenos Aires, Argentina",ICSE-C '17,,,,,,,
