"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Challenges of Adopting DevOps Culture on the Internet of Things Applications - A Solution Model","A. Bijwe; P. Shankar","Post Graduate Research Centre, Indira Institute of Management, Pune (SP Pune University), Pune, India; Indira College of Engineering and Management (SP Pune University), Pune, India",2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS),"28 Dec 2022","2022","","","638","645","DevOps is a culture that emphasizes team cooperation and encourages enterprises to deliver software product features through automated processes. The Internet of Things paradigm is impulsively and continuously reforming industrial endeavours. DevOps combines continuous integration followed by continuous testing which is then succeeded by continuous deployment and continuous delivery. Continuous monitoring is a nerve ending once the product is delivered. This entire combination helps to produce faster deployments with quality. The DevOps-related challenges in IoT projects are discussed in this paper. The DevOps methodology and its recommended practices are frequently used in combination with version control, monitoring, and alerting at the device level. It has outlined the software architecture for IoT devices. This study reviewed research articles to investigate challenges with the Internet of Things applications related to DevOps framework. This study also tried to explore solutions for those challenges in form of guidelines, practices to adhere to, and models suggested in various available literature. The proposed article identifies important issues that must be resolved to implement the DevOps culture in IoT applications. Additionally, the organizations' cultural difficulties confronted while placing DevOps into practice are studied and a model is developed to provide guidelines. Effectiveness measures under consideration are collaboration, sharing, efficiency, and quality (Business value). So, this study emphasizes the challenges related to these effectiveness measures. According to research, there are several obstacles to implementing a DevOps culture in IoT applications, including poor communication, less no of DevOps experts, weak collaboration, and less management support. This research suggested a new model, Industrial DevOps Maturity Model (IDMM) to provide usage guidelines that can be the solution to existing challenges related to the effectiveness measures faced while using DevOps framework in IoT applications.","","978-1-6654-7657-7","10.1109/ICTACS56270.2022.9988182","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988182","Internet of Things;DevOps;DevOps culture;DevOps challenges;DevOps guidelines;DevOps model;Industrial DevOps Maturity Model;IDMM","Software architecture;Computational modeling;Collaboration;Organizations;Software;Internet of Things;Cultural differences","","13","","37","IEEE","28 Dec 2022","10-12 Oct. 2022","10-12 Oct. 2022","IEEE","IEEE Conferences"
"Challenges and Opportunities of DevOps for IoT Systems:DevOps-For-IoT","W. Khalaifat; F. Abdulaziz","Collage of Information Technology, University of Bahrain, Kingdom of Bahrain; Collage of Information Technology, University of Bahrain, Kingdom of Bahrain","2024 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)","13 Jan 2025","2024","","","289","294","DevOps has become a highly important trend in the global software industry due to its ability to improve productivity, quality, and customer satisfaction in the software development process. It is a collection of methods that integrate software development and operations, allowing for a continuous life cycle of software products. While DevOps has achieved success in traditional software systems, the adoption of DevOps remains relatively limited in the domain of Internet of Things (IoT), which integrates physical components, software, and communication systems. Managing and integrating the diverse elements of IoT including IoT applications, hardware platforms, operating systems, protocols, and security requirements, hinders the implementation of DevOps in IoT. This study investigates the use of the DevOps approach within the domain of the IoT. It explores and analyzes the obstacles associated with adopting DevOps in the IoT field. Also, it introduces DevOps-For-IoT, which is a modified DevOps approach for the IoT.","2770-7466","979-8-3315-3313-7","10.1109/3ict64318.2024.10824302","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824302","Internet of Things;DevOps;Development;Operation;Automation;Software","Productivity;Technological innovation;DevOps;Protocols;Operating systems;Software systems;Hardware;Internet of Things;Security;Software engineering","","2","","29","IEEE","13 Jan 2025","17-19 Nov. 2024","17-19 Nov. 2024","IEEE","IEEE Conferences"
"Ensuring the Integrity, Confidentiality, and Availability of IoT Data in Industry 5.0: A Systematic Mapping Study","K. Boisrond; P. M. Tardif; F. Jaafar","Computer Science Department, University of Sherbrooke, Sherbrooke, QC, Canada; Computer Science Department, University of Sherbrooke, Sherbrooke, QC, Canada; Computer Science and Mathematics Department, University of Quebec at Chicoutimi, Chicoutimi, QC, Canada",IEEE Access,"9 Aug 2024","2024","12","","107017","107045","The significant success of the Internet of Things in facilitating connections among consumer devices has led to an evident inclination towards connecting devices within industrial environments, commonly known as the Industrial Internet of Things (IIoT). Meanwhile, the integration of DevOps and DevSecOps into Industry 5.0 is generating much interest in both industry and academia, and its adoption in practice is raising a lot of challenges. This study aims to organize the knowledge about the challenges encountered by the Industry and practitioners when adopting DevOps and DevSecOps in the Industry 5.0 environment, as well as suggested practices documented in the literature. We also identify the security challenges related to data integrity, confidentiality, and availability of Industrial IoT data. We conducted a Systematic Mapping Review of more than a thousand papers and focused on 57 peer-reviewed studies published between January 2019 and March 2024. We have identified challenges and benefits associated with adopting DevOps and DevSecOps in Industry 5.0. We have also identified specific security solutions, particularly in the Industrial Internet of Things (IIoT), as well as the correlation between these findings. The study results were classified into organizational, technical, and regulatory. The findings show that the most frequently reported challenges and solutions were related to technical. Although organizational factors were considered critical for successfully adopting DevOps and DevSecOps in Industry 5.0, they required more investigation. Our study offers a comprehensive analysis of the research to secure the industrial Internet of Things, discusses their applicability, and analyzes their security benefits by integrating DevOps and DevSecOps in Industry 5.0.","2169-3536","","10.1109/ACCESS.2024.3434618","Contributions of NSERC’s Discovery Program and Public Safety Canada’s Cyber Security Cooperation Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10613759","DevOps;secure DevOps;DevSecOps;industry 5.0;Industrial Internet of Things (IIoT);Internet of Things (IoT);continuous integration;continuous deployment;continuous delivery;integrity;confidentiality;availability;artificial intelligence;cyber security","Security;DevOps;Fifth Industrial Revolution;Software;Industrial Internet of Things;Codes;Fourth Industrial Revolution","","15","","99","CCBYNCND","29 Jul 2024","2024","","IEEE","IEEE Journals"
"Realization of a Model-Based DevOps Process for Industrial Safety Critical Cyber Physical Systems","S. Gautham; A. V. Jayakumar; A. Rajagopala; C. Elks","Dependable Cyber-Physical Systems Lab, Virginia Commonwealth University, Richmond, VA, USA; Dependable Cyber-Physical Systems Lab, Virginia Commonwealth University, Richmond, VA, USA; Dependable Cyber-Physical Systems Lab, Virginia Commonwealth University, Richmond, VA, USA; Dependable Cyber-Physical Systems Lab, Virginia Commonwealth University, Richmond, VA, USA",2021 4th IEEE International Conference on Industrial Cyber-Physical Systems (ICPS),"5 Jul 2021","2021","","","597","604","Safety critical Industrial Cyber Physical Systems (CPS) have stringent safety and security requirements and need assurance of deterministic behavior during system operation. In many safety critical application domains, runtime monitors (or runtime verification) are used to enforce operational safety and security. One of the challenges in runtime verification is to identify the critical safety properties that we want to monitor at runtime. In this paper, we explore how structural verification activities in a Model Based Design and Engineering (MBDE) context help formulate more effective monitoring specifications to cover vulnerable areas in a system. We assert that leveraging synergy between design and runtime verification produces more informed runtime safety monitors. This approach of integrating design assurance and runtime safety and security is an important aspect of the dependable DevOps continuum process. To demonstrate this, we perform verification of an Emergency Diesel Generator Startup Sequencer (EDGSS) implemented on an FPGA overlay architecture using model-based verification techniques. We present our key findings on synergy between runtime verification and design processes to support a more inclusive safety case.","","978-1-7281-6207-2","10.1109/ICPS49255.2021.9468213","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9468213","Runtime verification;model-based engineering;Industrial Cyber Physical Systems;DevOps","Runtime;Systems operation;Tools;Generators;Safety;Security;IEC Standards","","10","","18","IEEE","5 Jul 2021","10-12 May 2021","10-12 May 2021","IEEE","IEEE Conferences"
"Meta-Model Approach of Applied Devops on Internet of Things Ecosystem","B. El Khalyly; A. Belangour; A. Erraissi; M. Banane","Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco; Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco; Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco; Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco","2020 IEEE 2nd International Conference on Electronics, Control, Optimization and Computer Science (ICECOCS)","14 Jan 2021","2020","","","1","6","DevOps is a software development and distribution process. It combines an entire culture of collaboration and fusion between management approach, technologies of coding and technics of integration. DevOps is a new paradigm and novel concept that is introduced in different industries that concerns software and embedded development like robotics and smart agent.The ecosystem of the Internet of Things is a set of physical devices such as sensors and actuators. It includes a set of servers and gateways that provide connectivity. These devices can be installed at three levels: the edge level, the fog level and the cloud level. Applications that monitor things and collect data from sensors are deployed at the edge, fog and cloud levels. These applications can be containerized and deployed in different devices by Docker, which takes advantage of its advantage to create executable containers that are isolated from each other. This paper presents a generic metamodel of the Internet of Things ecosystem based on microservices and supported by Docker as a containerization tool and Ansible as a monitoring tool. This metamodel allows us to generate a system of connected objects that can be deployed on three levels: Fog, Edge, Cloud. This metamodel can be used in different types of domains such as Smart Home - Smart City - Smart Vehicle - Smart Health - Smart Farm - Smart Factory. The metamodel proposed in this article is a fusion between 5 metamodels: Internet of Things - Microservices - Ansible - Docker - Kubernetes.","","978-1-7281-6921-7","10.1109/ICECOCS50124.2020.9314552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314552","Model Driven Engineering;metamodeling;Microservices;Internet of Things;Devops;Docker;Ansible;Kubernetes","Ecosystems;Internet of Things;Containers;Tools;Monitoring;Cloud computing;Actuators","","1","","22","IEEE","14 Jan 2021","2-3 Dec. 2020","2-3 Dec. 2020","IEEE","IEEE Conferences"
"Cloud Ecosystems Support for Internet of Things and DevOps Using Patterns","M. H. Syed; E. B. Fernandez","Dept. of Comp. and Elect. Eng. and Computer Science, Florida Atlantic University, Boca Raton, FL, USA; Dept. of Comp. and Elect. Eng. and Computer Science, Florida Atlantic University, Boca Raton, FL, USA",2016 IEEE First International Conference on Internet-of-Things Design and Implementation (IoTDI),"19 May 2016","2016","","","301","304","An ecosystem is the expansion of a software product line architecture to include systems outside the product which interact with the product. A cloud ecosystem includes interdependent and communicating components. Not only the cloud ecosystem itself keeps evolving, but it also affects the way in which we develop and deploy software. We model the architecture of a cloud ecosystem as a set of patterns, showing partial descriptions for some of them. We then discuss the role of this evolving platform in facilitating the Internet of Things and the new DevOps framework for developing software.","","978-1-4673-9948-7","10.1109/IoTDI.2015.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7471379","Software ecosystems;Internet of Things;cloud computing;fog computing;software containers;DevOps;reference architectures","Cloud computing;Ecosystems;Containers;Unified modeling language;Security;Computer architecture","","12","","32","IEEE","19 May 2016","4-8 April 2016","4-8 April 2016","IEEE","IEEE Conferences"
"Seamless Integration of DevOps Tools for Provisioning Automation of the IoT Application on Multi-Infrastructures","H. E. Solayman; R. P. Qasha","Department of Computer Science, University of Mosul, Mosul, Iraq; Department of Computer Science, University of Mosul, Mosul, Iraq",2023 3rd International Conference on Intelligent Communication and Computational Techniques (ICCT),"27 Mar 2023","2023","","","1","7","The Internet of Things contains smart devices and tools that collect and communicate sensing data, with different processing capabilities. Due to the heterogeneous nature of IoT ecosystems, an IoT application should be distributed, portable, reusable, and managed automatically in heterogeneous environments. The integration of automated provisioning and orchestration is needed to achieve these features effectively, in order to reduce the response time and enhance the system performance. In this research, we propose and develop a new system to automate the provisioning and orchestration of IoT system components at various infrastructures such as Edge and Cloud. To achieve our goals, we present a seamless integration of DevOps orchestration tools for provisioning and orchestrating a container-based IoT application, which requires achieving two key milestones. The first step is to build CI, or quick, dependable, and systematic integrations. The second is to enable CD, automate deployment, and make it simple to test new code in environments similar to production.","","978-1-6654-5357-8","10.1109/ICCT56969.2023.10075814","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075814","Provisioning;Orchestration;DevOps;CI/CD;TOSCA;Cloud;Edge","Cloud computing;Systematics;System performance;Pipelines;Production;Sensors;Internet of Things","","4","","33","IEEE","27 Mar 2023","19-20 Jan. 2023","19-20 Jan. 2023","IEEE","IEEE Conferences"
"Continuous Delivery of Customized SaaS Edge Applications in Highly Distributed IoT Systems","R. López-Viana; J. Díaz; V. H. Díaz; J. -F. Martínez","Universidad Politécnica de Madrid, Madrid, Spain; Universidad Politécnica de Madrid, Madrid, Spain; Universidad Politécnica de Madrid, Madrid, Spain; Universidad Politécnica de Madrid, Madrid, Spain",IEEE Internet of Things Journal,"9 Oct 2020","2020","7","10","10189","10199","Edge computing is a reality for the current IoT systems that need fast processing and quick response time to make real-time decisions and IoT systems without permanent connectivity to the cloud (e.g., car manufacturing, precision agriculture, or cattle raising). Additionally, these industries are facing the need for rapid and continuous innovation by accelerating the delivery of over-the-air (OTA) software updates in edge devices. DevOps promotes collaboration between development and operation teams and automation at all steps of software construction to achieve continuous delivery (CD) of business value. Although DevOps has demonstrated numerous successful cases in the Web domain, in the IoT domain and, more specifically, at the edge, there are few reported cases. This work presents a success case of CD of customized software as a service software as a service (SaaS) updates at the IoT Edge. This may enable new business models at the IoT Edge. This article presents an architectural model of a highly distributed (cloud and edge) IoT system and a CD process flow for customized SaaS applications in edge nodes. Both the architectural model and the CD process flow are instantiated in a case study for precision agriculture.","2327-4662","","10.1109/JIOT.2020.3009633","AFARCLOUD European Project (Aggregate Farming in the Cloud); ECSEL JU(grant numbers:783221-AFarCloud-H2020-ECSEL-2017-2); Spanish Ministry of Science, Innovation and Universities(grant numbers:PCI2018-092965); crowdsaving(grant numbers:TIN2016-79726-C2-1-R); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9142209","Continuous delivery (CD);DevOps;edge computing;IoT systems;software as a service (SaaS)","Cloud computing;Software as a service;Edge computing;Internet of Things;Business;Agriculture","","14","","25","IEEE","16 Jul 2020","Oct. 2020","","IEEE","IEEE Journals"
"AI-Driven DevOps in Telecommunications: Bridging Predictive Analytics with Continuous Delivery for Network Agility","S. K. Davuluri; V. Challagulla; V. Mudapaka; U. Konka","PHD Research Student, University of the Cumberlands, USA; Tempus AI, USA; Lead Devops Engineer Care.com, USA; Lead Developer Hanwa Qcells, USA",2025 IEEE International Conference and Expo on Real Time Communications at IIT (RTC),"23 Oct 2025","2025","","","1","4","The telecommunications industry is navigating a transformative era driven by the complexity of 5G, Internet of Things (IoT), edge computing, and software-defined networking. These technologies demand rapid, reliable, and scalable network operations to meet stringent performance, reliability, and regulatory requirements. This paper presents an in-depth study on integrating Artificial Intelligence (AI) into DevOps pipelines to address these challenges. By combining predictive analytics, machine learning (ML), and automation, our proposed AI-Driven DevOps model enhances network agility, optimizes resource allocation, minimizes service disruptions, and enables autonomous operations. We explore practical applications through a detailed case study, address implementation and scalability challenges, propose a conceptual pipeline with mathematical foundations, quantify hypothetical improvements with enhanced metrics, and discuss ethical considerations. The model bridges predictive insights with continuous delivery, fostering resilient, scalable, and intelligent telecom networks capable of adapting to dynamic demands.","","979-8-3315-5601-3","10.1109/RTC66985.2025.11211551","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11211551","DevOps;Predictive Analytics;Telecommunications;CI/CD;Artificial Intelligence;AIOps;Continuous Delivery;5G;Machine Learning;Network Automation;Network Slicing;MLOps","DevOps;5G mobile communication;Pipelines;Predictive models;Mathematical models;Telecommunications;Telecommunication network reliability;Internet of Things;Predictive analytics;Edge computing","","2","","8","IEEE","23 Oct 2025","7-8 Oct. 2025","7-8 Oct. 2025","IEEE","IEEE Conferences"
"Development of Interoperability in Industrial Internet of Things (IIoT) Ecosystems: Integrating DevOps and Digital Twins to Platform Integration and Ensure Seamless Device","V. S. Pandi; K. Ranjani; Z. Azzam; H. P. Thethi; M. Dinesh; E. Yuvabharathi","Centre for Advanced Wireless Integrated Technology, Chennai Institute of Technology, Chennai, Tamil Nadu, India; Department of CSE (Internet of Things&Cyber Security Including Blockchain Technology), SNS College of Technology, Coimbatore; Faculty of Economics and Administrative Sciences, Electronic Marketing and Social Media, Zarqa University, Zarqa, Jordan; Dept of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, India; Department of VLSI Microelectronics, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences (SIMATS), Saveetha University, Chennai; Information Technology Jeppiaar institute of Technology, Sunguvachatram",2025 International Conference on Smart & Sustainable Technology (INCSST),"28 Oct 2025","2025","","","1","6","The Industrial Internet of Things (IIoT) is now an integral part of modern industrial systems, revolutionizing smart manufacturing, predictive maintenance, and optimizing supply chains. While the implementation of HoT is complex, one of the most critical aspects is in terms of achieving interoperability between different devices, platforms, and applications within IIoT ecosystems. It is not enough only to have strong communication protocols that plays well with all the components, but also continuous development, testing and deployment pipelines that can conform to those specific and growing needs in industrial environments. By integrating DevOps principles and Digital Twin technology, this work presents a unique approach that enables application-level interoperability by ensuring seamless device communication across heterogeneous IIoT ecosystems. DevOps, with its focus on automation, collaboration, and CI/CD, has emerged as a powerful way to tackle operational complexities in HoT ecosystems. Integrating DevOps into IIoT platform development, we focus on reducing the friction involved in connecting devices, sensors and applications so that any update or change can be deployed fast and reliably. At the same time, Digital Twin technology, as representations of physical assets, is key to providing monitoring in real time, simulation, and optimization of devices and systems within IIoT environments. The aim of this research is to investigate how the intersection of DevOps and Digital Twins can upend parallel processing with a framework for platform interoperability which enables real-time decision-making and predictive analytics whilst mitigating downtime and improving system efficiency. The framework for interoperability proposed in this paper aims to build a cohesive infrastructure that enables the seamless exchange of information between legacy systems, modern IoT devices, and cloud-based applications. Digital Twins are a key element in enabling a feedback loop between the physical HoT devices and the digital terrain they inhabit across the intrinsic and extrinsic domains of the IIoT. Additionally, by leveraging DevOps in the design, we guarantee that this platform can adapt to changing business needs or technological innovation without compromise to the operational integrity of the system.","","979-8-3315-4192-7","10.1109/INCSST64791.2025.11210416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11210416","DevOps;Interoperability;Digital Twins;Seamless Device Communication;Platform Integration;RealTime Data Monitoring","DevOps;Ecosystems;Real-time systems;Digital twins;Complexity theory;Interoperability;Monitoring;Optimization;Industrial Internet of Things;Predictive maintenance","","","","15","IEEE","28 Oct 2025","4-6 July 2025","4-6 July 2025","IEEE","IEEE Conferences"
