Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mukhiyadin, A., Akmoldina, A., Tainova, K., Abdrahmanov, D.","57979512100;60422327400;60433065600;60432961200;","Design and implementation of an interface architecture for automated IoT device testing platforms",2026,"Energy Informatics","9","1","28","","",0,,"10.1186/s42162-026-00629-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031699901&doi=10.1186%2fs42162-026-00629-6&partnerID=40&md5=5208040187d0608d1ebe44475d3e9cd8",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105031699901
"Rabadán-Arroyo, R., Simó, E., Aguiló-Gost, F., Hernández-Ramírez, F., Masip-Bruin, X.","60387707800;6602076566;57222877225;60387808700;22433466100;","An Adaptive IoT-Based ForecastingFramework for Structural and Environmental Risk Detection in Tailings Dams",2026,"Electronics Switzerland","15","3","658","","",0,,"10.3390/electronics15030658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030075161&doi=10.3390%2felectronics15030658&partnerID=40&md5=923bbb65c2d46ab3babcb928e7b410c7",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-105030075161
"Sanou, D.J.C., Yangui, S., Faci, N.","60038509800;50061953500;36187816400;","A Running Prototype for Dynamic QoS Management in the Cloud Continuum",2026,"Lecture Notes in Computer Science","15834 LNCS",,,"264","269",0,,"10.1007/978-981-96-7423-7_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013049207&doi=10.1007%2f978-981-96-7423-7_30&partnerID=40&md5=35d5cecc724801544ec719e6924a3b54",Conference Paper,"Final","",Scopus,2-s2.0-105013049207
"Ozimek, J., Yakobovich, M., Hoving, H.-J., Capiluppi, A.","60095900600;60096371000;9236162600;14037028300;","AI-Driven Machine Learning Architecture for Scalable Irrigation Detection in Precision Agriculture: A Case Study with CropX",2026,"Lecture Notes in Computer Science","15929 LNCS",,,"389","405",0,,"10.1007/978-3-032-02138-0_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015788031&doi=10.1007%2f978-3-032-02138-0_27&partnerID=40&md5=c951d3ec9a1f69f79ce3fefb7e47b6d4",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-105015788031
"Beaumont, G., Beugnard, A., Martínez, S., Urtado, C., Vauttier, S.","57947769800;8882832700;57197244754;22434118100;22434283700;","Towards Automating the Life Cycle Management of Digital Twins",2026,"Lecture Notes in Computer Science","16189 LNCS",,,"412","430",0,1,"10.1007/978-3-032-08623-5_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020660338&doi=10.1007%2f978-3-032-08623-5_22&partnerID=40&md5=f1d574db5276b6149d4950b7085ff275",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-105020660338
"Sadrnezhaad, M., Hernández López, J.A., Mårtensson, T., Varró, D.","60216142600;57220116695;57192161976;57203069783;","Generative AI in Simulation-Based Test Environments for Large-Scale Cyber-Physical Systems: An Industrial Study",2026,"Lecture Notes in Computer Science","16361 LNCS",,,"203","219",0,,"10.1007/978-3-032-12089-2_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023306090&doi=10.1007%2f978-3-032-12089-2_13&partnerID=40&md5=74f4e2bfd1fa763858d37ea5a37260c0",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-105023306090
"Dai, Q., Qin, G., Li, R.","55973286700;54279481500;60194342000;","A Distributed Container-Based Internet of Things (IoT)-Enabled Autonomous E-Healthcare System for Development and Operations (DevOps)",2026,"Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering Lnicst","646 LNICST",,,"78","90",0,,"10.1007/978-3-032-03215-7_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021834159&doi=10.1007%2f978-3-032-03215-7_6&partnerID=40&md5=269299c1691b9e82f07be422dd3dbbb7",Conference Paper,"Final","",Scopus,2-s2.0-105021834159
"Giulianelli, N., Sabbioni, A., Montebugnoli, S., Bujari, A., Corradi, A.","60327907400;57196191696;58614357200;35118641200;57200217801;","Forging Industry 5.0 DevOps: Towards Secure and Scalable OT Orchestration Powered by Kubernetes",2026,"Proceedings IEEE Consumer Communications and Networking Conference Ccnc",,,,"","",0,,"10.1109/CCNC65079.2026.11366408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105034124266&doi=10.1109%2fCCNC65079.2026.11366408&partnerID=40&md5=731c759df86f7bd0d65b4580f2e8a08c",Conference Paper,"Final","",Scopus,2-s2.0-105034124266
"Giulianelli, N., Sabbioni, A., Montebugnoli, S., Bujari, A., Corradi, A.","60327907400;57196191696;58614357200;35118641200;57200217801;","KOTO: A Kubernetes-Based Platform for Secure and Scalable OT Orchestration in Industry 5.0",2025,"Proceedings of the 18th IEEE ACM International Conference on Utility and Cloud Computing Ucc 2025",,,"55","","",0,,"10.1145/3773274.3774700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027103095&doi=10.1145%2f3773274.3774700&partnerID=40&md5=50e8d311adf40e29e4d3d90befab8c56",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-105027103095
"Reddy, D.N., Suryodai, R., Kumar, S.B.V., Ambika, M., Muniyandy, E., Krishna, V.R., Abdurasul, B.","59337167000;60105463100;57190191354;59882131000;58932079700;56403187800;59128922000;","A Scalable Microservices Architecture for Real-Time Data Processing in Cloud-Based Applications",2025,"International Journal of Advanced Computer Science and Applications","16","9",,"31","42",0,,"10.14569/IJACSA.2025.0160905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019232580&doi=10.14569%2fIJACSA.2025.0160905&partnerID=40&md5=7c32dc99eb5e11f8c8a765b72a6c405c",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-105019232580
"Hodge, V.J., Osborne, M.","7004904183;57211169524;","Agile Development for Safety Assurance of Machine Learning in Autonomous Systems (AgileAMLAS)",2025,"Array","27",,"100482","","",0,1,"10.1016/j.array.2025.100482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013656428&doi=10.1016%2fj.array.2025.100482&partnerID=40&md5=ba4d2f160498c3fc240e2d8797a0ca80",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105013656428
"Arivanantham, V.P., Ghanimi, H.M.A., Sonthi, V.K., Ayasrah, F.T., Lenka, R.M., Hemalatha, P., Sengan, S., Dadheech, P.","59971839800;57191921310;57226497399;57216162328;60110900500;60157277800;55008255500;57189097825;","The secured authentication system: Integrated cyber security end-toend based cyber-physical systems for improved DevOps resilience with authentication",2025,"Journal of Discrete Mathematical Sciences and Cryptography","28","5",,"1887","1898",0,,"10.47974/JDMSC-2365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017074846&doi=10.47974%2fJDMSC-2365&partnerID=40&md5=a0dc166b8764acebd5f044b8ca6d3803",Article,"Final","",Scopus,2-s2.0-105017074846
"Palesetti, P.P., Engström, E., Söderberg, E., Jasim, A.-H.H., Bexell, A., Korkakakis, N., Aminifar, A., Lagerstedt, R., Olsson, P., Sigurdson, P., Borg, M., Hagatulah, N., Orucevic-Alagic, A., Kihl, M.","60059921200;26430601700;37007724200;57217989582;60059449700;59707253800;35725193700;56405643700;60060037100;60059334700;37103431600;60015287100;36930632200;6701782286;","Towards Sustainable DevOps for Cyber Physical Systems",2025,"Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering",,,,"1437","1440",0,,"10.1145/3696630.3728708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013960274&doi=10.1145%2f3696630.3728708&partnerID=40&md5=a0f8736bdc0ad8e78f6b313656b1c276",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-105013960274
