Relevance;Presence;Reference;Authors;Author full names;Author(s) ID;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Cited by;DOI;Link;Abstract;Document Type;Publication Stage;Open Access;Source;EID
non rilevante;NON PRESENTE;1;"Wang B.-Y.; Yen Y.-C.; Tsai C.-H.; Li K.-C.; Cheng Y.C.";"Wang, Bing-Yun (57324908200); Yen, Yi-Chun (57324158400); Tsai, Che-Hung (60630732100); Li, Kun-Che (60630911500); Cheng, Yu Chin (55487650500)";"57324908200; 57324158400; 60630732100; 60630911500; 55487650500";Part-Whole Behavioral Specification and Composition of Internet of Things Systems: Applying Behavior-Driven Development with Problem Frames;2026;Journal of Information Science and Engineering;42;3;;681;701;0;10.6688/JISE.202605_42(3).0012;https://www.scopus.com/pages/publications/105038626580?origin=resultslist;Behavior-driven development (BDD) is a new method that has increasingly attracted attention from the Internet of Things (IoT) research and development community. To contribute to the increasing adoption of BDD for IoT development, we propose a new method and a Gherkin language enhancement for building executable system behavioral specifications by reusing and composing the component scenarios already available. With the objectives of achieving maintainability and diagnosability, the new method applies the problem frames approach to obtain a problem diagram, which captures the part-whole relationship between the system and its components and the essential elements needed. A system scenario is modeled as a directed path in the problem diagram that readily translates into a script of the enhanced Gherkin. The system scenario acts as a co-routine alongside the given component scenarios at two levels. Executing a system scenario concurrently sets its component scenarios in motion, driving the components to produce the required behaviors that coalesce into the overall system behavior described by the system scenario. The proposed method is qualitatively demonstrated to balance modifiability with diagnosability better than the one-level scripting of the current Gherkin. The two-level scripting is supported by concurrentSpec, an embedded Gherkin tool in Python that supports the composition, execution, and reporting of the two-level executable specifications. © 2026, Institute of Information Science. All rights reserved.;Article;Final;;Scopus;2-s2.0-105038626580
in primary study;PRESENTE;1;"Lopez-Viana R.; Diaz J.; Diaz V.H.; Martinez J.-F.";"Lopez-Viana, Ramon (57219440457); Diaz, Jessica (35092351500); Diaz, Vicente Hernandez (23060298800); Martinez, Jose-Fernan (57685344200)";"57219440457; 35092351500; 23060298800; 57685344200";Continuous Delivery of Customized SaaS Edge Applications in Highly Distributed IoT Systems;2020;IEEE Internet of Things Journal;7;10;9142209;10189;10199;17;10.1109/JIOT.2020.3009633;https://www.scopus.com/pages/publications/85092715218?origin=resultslist;Edge computing is a reality for the current IoT systems that need fast processing and quick response time to make real-time decisions and IoT systems without permanent connectivity to the cloud (e.g., car manufacturing, precision agriculture, or cattle raising). Additionally, these industries are facing the need for rapid and continuous innovation by accelerating the delivery of over-the-air (OTA) software updates in edge devices. DevOps promotes collaboration between development and operation teams and automation at all steps of software construction to achieve continuous delivery (CD) of business value. Although DevOps has demonstrated numerous successful cases in the Web domain, in the IoT domain and, more specifically, at the edge, there are few reported cases. This work presents a success case of CD of customized software as a service software as a service (SaaS) updates at the IoT Edge. This may enable new business models at the IoT Edge. This article presents an architectural model of a highly distributed (cloud and edge) IoT system and a CD process flow for customized SaaS applications in edge nodes. Both the architectural model and the CD process flow are instantiated in a case study for precision agriculture. © 2014 IEEE.;Article;Final;;Scopus;2-s2.0-85092715218
non rilevante;NON PRESENTE;1;"Jahantigh M.N.; Rahmani A.M.; Navimirour N.J.; Rezaee A.";"Jahantigh, Motahareh Nazari (57213825837); Rahmani, Amir Masoud (57204588830); Navimirour, Nima Jafari (57213840930); Rezaee, Ali (55392412200)";"57213825837; 57204588830; 57213840930; 55392412200";Integration of Internet of Things and cloud computing: A systematic survey;2020;IET Communications;14;2;;165;176;92;10.1049/iet-com.2019.0537;https://www.scopus.com/pages/publications/85078043034?origin=resultslist;"There are two different concepts [Internet of Things (IoT) and cloud computing] influencing our lives in many ways as they will further be used and highlighted in the future of the Internet. The present systematic study discusses a combination of these two concepts. Many studies have focused on IoT and cloud computing separately. These studies lack a deep investigation of their combination, which has new challenges and issues. Yet, the recent integration of them has been paid a primary focus. This systematic study attempts to analyse how the combination of IoT and cloud has been presented and detects the challenges and metrics of such integration. Further, this analysis aims to develop an understanding of the current affair of this integration by overviewing a collection of 38 recent papers. The contributions of this study, in brief, are: (i) overviewing the current challenges correlated with combination of cloud computing and IoT; (ii) presenting the anatomy of some proposed combination platforms, applications, and integrations; (iii) summarising major areas to boost the integration of cloud and IoT in the upcoming works. © The Institution of Engineering and Technology 2019.";Review;Final;;Scopus;2-s2.0-85078043034
non rilevante;NON PRESENTE;1;"Pattiwar S.K.; Saxena P.; Alay Ö.";"Pattiwar, Shravan Kumar (60211536200); Saxena, Paresh (55550090500); Alay, Özgü (24723827100)";"60211536200; 55550090500; 24723827100";PRISM: Proximal policy optimization with deep Reinforcement learning for Intelligent Scheduling in Multipath QUIC under heterogeneous and hybrid 5G/B5G–satellite networks;2026;Computer Communications;252;;108523;;;0;10.1016/j.comcom.2026.108523;https://www.scopus.com/pages/publications/105035004529?origin=resultslist;The increasing reliance on and integration of heterogeneous access networks such as 5G, Beyond 5G (B5G), and satellite communication (Satcom) systems have not been adequately leveraged in existing multipath transport schedulers. Although protocols like Multipath TCP (MPTCP) and Multipath QUIC (MPQUIC) enable bandwidth aggregation across multiple paths, current schedulers largely rely on reactive decisions and struggle to cope with rapidly varying hybrid network conditions involving bandwidth fluctuations, intermittent outages, and heterogeneous link characteristics. This work presents PRISM (Proximal policy optimization-based Reinforcement learning for Intelligent Scheduling of Multipaths), a deep reinforcement learning (DRL)-based scheduler designed for MPQUIC in hybrid 5G and Satcom environments. PRISM follows a hybrid-adaptive approach by integrating LSTM-enhanced actor–critic learning with an adaptive exploration strategy, allowing the scheduler to leverage temporal network behavior and make proactive scheduling decisions. The design remains lightweight, enabling efficient operation with low CPU and memory overhead, which is critical for real-time deployment. We evaluate PRISM under diverse and dynamically changing network conditions, including bandwidth variability and link disruptions, using real-world traces from Lumos5G and Starlink Satcom datasets. The evaluation compares PRISM against state-of-the-art learning-based schedulers (Peekaboo and DEAR) as well as widely used rule-based schedulers (RR, ECF, BLEST, and MinRTT). Experimental results show that PRISM consistently achieves superior performance, providing improvements of up to 25.64%–31.25% over other learning-based schedulers and substantially higher gains over rule-based approaches across heterogeneous network scenarios. © 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.;Article;Final;;Scopus;2-s2.0-105035004529
non rilevante;NON PRESENTE;1;"Kumar P.S.; Saxena P.; Alay O.";"Kumar, Pattiwar Shravan (57465945500); Saxena, Paresh (55550090500); Alay, Ozgu (24723827100)";"57465945500; 55550090500; 24723827100";Next-generation DRL empowered actor-critic schedulers for multipath QUIC in 5G vehicular IoT;2025;Internet of Things (The Netherlands);32;;101616;;;1;10.1016/j.iot.2025.101616;https://www.scopus.com/pages/publications/105005192542?origin=resultslist;The advent of 5G and beyond 5G (B5G) systems has led to a significant rise in bandwidth-intensive applications within the Internet of Things (IoT), particularly in vehicular IoT (V-IoT). Effective solutions like Multipath TCP (MPTCP) and Multipath QUIC (MPQUIC) have emerged to address the escalating bandwidth demands of connected vehicles. However, challenges persist for multipath schedulers in efficiently adapting to diverse network conditions typically found in vehicular environments. In this paper, we introduce two novel variants of DEAR (Deep reinforcement learning Empowered Actor-critic scheduleR), namely, DEAR-MAC (Multiple Alternative Critics) and DEAR-CAP (Critic Associated per Path). The proposed DRL-based schedulers are tailored for multipath QUIC in 5G/B5G environments, enhancing decision-making in dynamic network scenarios often encountered by V-IoT devices. Through extensive experimentation across various network setups, including those with fluctuating bandwidth and network outages, and utilizing real-world network traces from the Lumos5G dataset, we conduct a comparative analysis against state-of-the-art learning-based schedulers like Peekaboo and rule-based schedulers like RR, ECF, BLEST, and minRTT. Our experiments show that the proposed DEAR-MAC and DEAR-CAP schedulers outperformed Peekaboo by 38.88% to 48.11%, respectively, in different heterogeneous network conditions, and the gains are much higher when compared to other rule-based schedulers. These advancements are particularly beneficial for vehicular IoT applications, ensuring more reliable and efficient data transmission, even in challenging network environments for applications such as real-time navigation, remote diagnostics, and vehicle-to-vehicle communication. © 2025 Elsevier B.V.;Article;Final;;Scopus;2-s2.0-105005192542
in primary study;PRESENTE;1;"Vaish P.; Anand N.; Sharma G.";"Vaish, Prashant (58296792400); Anand, Niharika (57193648536); Sharma, Gaurav (57226032643)";"58296792400; 57193648536; 57226032643";Unleashing the power of Devops and Iot: a framework for software delivery and system availability;2025;Multimedia Tools and Applications;84;13;;12241;12264;1;10.1007/s11042-024-19452-w;https://www.scopus.com/pages/publications/105004070607?origin=resultslist;This research paper proposes a DevOps and IoT-based software delivery and system availability performance model with continuous monitoring and feedback. The model was developed to measure the software delivery performance and system availability of organizations using various DevOps capabilities. The research involved data collection from IT organizations across different industries, and the findings were analyzed to determine the impact of different capabilities on software delivery performance and system availability. The results show that the use of DevOps practices, coupled with IoT-based monitoring, can significantly improve software delivery performance and system availability. The research also highlights the importance of operational capabilities in improving system availability. The study concludes by providing insights into how organizations can leverage the findings to improve their software delivery performance and system availability, ultimately becoming elite performers. The research provides valuable insights and a practical framework for organizations looking to improve their software delivery performance and system availability using DevOps and IoT-based approaches. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.;Article;Final;;Scopus;2-s2.0-105004070607
in primary study;PRESENTE;1;"Díaz J.; Pérez J.E.; Lopez-Peña M.A.; Mena G.A.; Yagüe A.";"Díaz, Jessica (35092351500); Pérez, Jorge E. (57218886032); Lopez-Peña, Miguel A. (57217736195); Mena, Gabriel A. (57220572888); Yagüe, Agustín (6603710246)";"35092351500; 57218886032; 57217736195; 57220572888; 6603710246";Self-service cybersecurity monitoring as enabler for DevSecops;2019;IEEE Access;7;;8766805;100283;100295;57;10.1109/ACCESS.2019.2930000;https://www.scopus.com/pages/publications/85084859519?origin=resultslist;Current IoT systems are highly distributed systems that integrate cloud, edge, and fog computing approaches depending on where intelligence and processing capabilities are allocated. This distribution and heterogeneity make development and deployment pipelines very complex and fragmented with multiple delivery endpoints above hardware. This fact prevents rapid development and makes the operation and monitoring of production systems a difficult and tedious task, including cybersecurity event monitoring. The DevSecOps can be defined as a cultural approach to improve and accelerate the delivery of business value by making dev/sec/ops teams’ collaboration effective. This paper focuses on self-service cybersecurity monitoring as an enabler to introduce security practices in a DevOps environment. To that end, we have defined and formalized an activity that supports ‘Fast and Continuous Feedback from Ops to Dev’ by providing a flexible monitoring infrastructure so that teams can configure their monitoring and alerting services according to their criteria (you build, you run, and now you monitor) to obtain fast and continuous feedback from the operation and thus, better anticipate problems when a production deployment is performed. This activity has been formalized using the Software & Systems Process Engineering Metamodel by OMG and its instantiation is described through a case study that shows the versioned and repeatable configuration of a cybersecurity monitoring infrastructure (Monitoring as Code) through virtualization and containerization technology. This self-service monitoring/alerting allows breaking silos between dev, ops, and sec teams by opening access to key security metrics, which enables a sharing culture and continuous improvement. © 2019 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.;Article;Final;"All Open Access; Gold Open Access; Green Open Access";Scopus;2-s2.0-85084859519
in review collegate;PRESENTE;1;"Pereira I.M.; Carneiro T.; Figueiredo E.";"Pereira, Igor Muzetti (57193726837); Carneiro, Tiago (6505541905); Figueiredo, Eduardo (18433988600)";"57193726837; 6505541905; 18433988600";A systematic review on the use of DevOps in internet of things software systems;2021;Proceedings of the ACM Symposium on Applied Computing;;;;1569;1571;5;10.1145/3412841.3442126;https://www.scopus.com/pages/publications/85104943011?origin=resultslist;Based on Systematic Literature Review (SLR), we search to investigate the relations of DevOps in IoT software systems. As a result, we characterize the benefits and challenges in the context of knowledge previously reported in primary studies. © 2021 Owner/Author.;Conference paper;Final;;Scopus;2-s2.0-85104943011
in primary study;PRESENTE;1;"Abbas S.I.; Walia R.";"Abbas, Syed Imran (58671169900); Walia, Ranjan (57201801382)";"58671169900; 57201801382";Analysis of Revolutionizing IoT Solutions through Cloud Computing Integration;2024;Proceedings - 2024 3rd International Conference on Sentiment Analysis and Deep Learning, ICSADL 2024;;;;39;45;1;10.1109/ICSADL61749.2024.00012;https://www.scopus.com/pages/publications/85200704986?origin=resultslist;This research work investigates the significant potential for increasing productivity and promoting innovation in a range of sectors presented by the combination of DevOps, Cloud Computing, and Internet of Things IoT. The transformational influence of this convergence is presented quantitatively in this research. Our findings highlighted the efficiency improvements of the integrated strategy in the field of IoT deployment, showing a noteworthy 71.67% decrease in deployment time when compared to traditional techniques. Furthermore, the integration demonstrated its potential for cost reductions by enabling a 37.5% decrease in expenses through dynamic resource scaling. This connection enabled real-time data analysis, which led to an astounding 91.67% decrease in reaction time when compared to conventional data analysis techniques. This demonstrates how it may provide real-time insights that are essential for Internet of Things applications. This study offers strong quantitative proof that the confluence of IoT, cloud computing, and DevOps is a route to increased productivity and creativity that has the ability to transform sectors and propel advancement in the digital age. © 2024 IEEE.;Conference paper;Final;;Scopus;2-s2.0-85200704986
in review collegate;PRESENTE;1;"Pereira I.M.; De Senna Carneiro T.G.; Figueiredo E.";"Pereira, Igor Muzetti (57193726837); De Senna Carneiro, Tiago Garcia (57223834415); Figueiredo, Eduardo (18433988600)";"57193726837; 57223834415; 18433988600";Understanding the context of IoT software systems in DevOps;2021;Proceedings - 2021 IEEE/ACM 3rd International Workshop on Software Engineering Research and Practices for the IoT, SERP4IoT 2021;;;;13;20;10;10.1109/SERP4IoT52556.2021.00009;https://www.scopus.com/pages/publications/85115159711?origin=resultslist;The growing demand for connected devices and the increase in investments in the Internet of Things (IoT) sector induce the growth of the market for this technology. IoT permeates all areas of life of an individual, from smartwatches to entire home assistants and solutions in different areas. The IoT concept is gradually increasing all over the globe. IoT projects induce an articulation of studies in software engineering to prepare the development and operation of software systems materialized in physical objects and structures interconnected with embedded software and hosted in clouds. IoT projects have boundaries between development and operation stages. This study search for evidence in scientific literature to support these boundaries through Development and Operations (DevOps) principles. We rely on a Systematic Literature Review to investigate the relations of DevOps in IoT software systems. As a result, we identify concepts, characterize the benefits and challenges in the context of knowledge previously reported in primary studies in the literature. The main contributions of this paper are: (i) discussion of benefits and challenges for DevOps in IoT software systems, (ii) identification of tools, concepts, and programming languages used, and, (iii) perceived pipeline for this kind of software development. © 2021 IEEE.;Conference paper;Final;"All Open Access; Green Open Access";Scopus;2-s2.0-85115159711
