source;document_type;type_C_J;AREA;OUR-EVALUATION;nome-file2;TITLE;PUNTO;SOVRAPPOSIZIONI;NEW MODEL;MBSE;IOT SPECFIC;ALL;ALL5;DEPLOYMENT;ALL6;ORCHESTRATION;High Level;issues;ALL2;ALL22;Performance;Monitoring;Logginh;ALL3;ALL32;TESTING;ALL7;SECURITY;DEVSECOPS;ADDITIONAL;MATURITY MODEL;PRIVACY;ALL4;ALL8;SYSTEM;Citazioni distinte;Citazioni considerate su più aree;Quality Score;CLAUDE;Pag.Num;DESIGN;VALIDITY;REPLICABILITY;THREATS;MATURITY;POC;authors;year;doi;URL;abstract;keywords;journal;booktitle;publisher;thematic_area;iot_context;devops_practices;tools_frameworks;screening_reason;SCOPUS;IEEE;WOS;ACM;DISTINTI;
;Conference paper;C;6 - Security, Privacy and Risk Assessment.;LOW;1;Automated deployment of SmartX IoT-cloud services based on continuous integration;1,98;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;14;14;1,98;MEDIUM;6;GOOD;GOOD;SUFFICIENT;SUFFICIENT;NO;YES;"J. Bae; C. Kim; J. Kim";2016;10.1109/ICTC.2016.7763372;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7763372;Since convergence of IoT and Cloud, IoT-Cloud, has potential to provide futuristic IT services, there are many research about IoT-Cloud service. To keep pace with trend, we are studying and developing IoT-Cloud service. Goal of this service is reducing power consumption in server room. To design this service, we use microservice. Since it is set of inter-connection of functions, frequent verification is important. Therefore, we adopt Continuous Integration (CI). It is designed to build and running service in testbed automatically. It reduces integration effort. In this paper, we introduce our experience in automated deployment of SmartX IoT-Cloud services based on CI.;"DevOps;Continuous Integration;Internet of Things;Cloud;IoT-Cloud;IoT-Cloud service";;2016 International Conference on Information and Communication Technology Convergence (ICTC);IEEE;2 - CI/CD for Development, Integration, and Deployment;IoT-cloud microservices (server-room power reduction);"Continuous Integration; automated deployment";not specified;Describes practical experience implementing CI-based automated deployment for IoT-cloud microservices, directly connecting DevOps practices to an IoT-cloud convergence use case.;14;11;9;0;14;
;Conference paper;C;4 - Performance Monitoring.;MEDIUM;2;DevOps Transformation for Multi-Cloud IoT Applications;1,32;1;;;;0;0;2;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;17;17;1,32;MEDIUM;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"L. Georgeta Guşeilă; D. -V. Bratu; S. -A. Moraru";2019;10.1109/ISSI47111.2019.9043730;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043730;In the dynamic IoT ecosystem, the fast development of applications is critical to achieve business goals and stay ahead of the competition. DevOps is a software development method that enables enterprises to deliver software product features through process automation, foster team collaboration and increase efficiency in the entire software lifecycle management building the way towards cloudification and enabling digital transformation. Furthermore, DevOps relies on automation in operations through monitoring and measuring the KPIs of a running system. The research presents the role of DevOps in the transformation of the IT Service delivery using a DevOps assessment to establish the maturity of software applications and the adoption of DevOps using the CI/CD) pipeline and automated testing. The paper provides a conceptual view of the CI/CD) pipeline based on agile tool, which will be implemented during future research.;"IoT;DevOps;DevOps Assessment;Software Lifecycle Management;Continuous Integration;Continuous Delivery;Test Automation";;2019 International Conference on Sensing and Instrumentation in IoT Era (ISSI);IEEE;2 - CI/CD for Development, Integration, and Deployment;multi-cloud IoT applications (general);"DevOps maturity assessment; CI/CD pipeline (conceptual); test automation";not specified;Discusses DevOps transformation and CI/CD pipelines for multi-cloud IoT applications with a maturity assessment, though the CI/CD pipeline remains conceptual and not yet implemented.;17;13;0;0;17;
;Conference paper;C;1 - Novel Models for IoT;LOW;3;A Generic Method to Rapidly Release Internet Services on Commercial Platforms;2,32;2;;;3;3;1;1;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;2;4;4,64;LOW;6;HIGH;SUFFICIENT;GOOD;SUFFICIENT;YES;YES;"X. Zhou; Z. Feng; J. Xiao; S. Chen; X. Xue; H. Wu";2021;10.1109/ICWS53863.2021.00055;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9590282;The prosperous development of Internet services such as O2O, IoT, and Web API has brought new vitality to service commercial platforms. However, these services involve online and offline business, which are widely diverse without a unified design and development standard. In addition, Internet services update frequently, which leads to repeat releases on commercial platforms. Therefore, in this paper, we present a generic method to rapidly release Internet services on commercial platforms. The method uses a highly abstract metamodel to express service business extensively and realizes service functions by executing metamodel objects. This method has wide versatility. Meanwhile, it extends the DevOps theory to solve the frequent changes of service functions during use after the release. Finally, we verified the usability of this method in the elderly healthcare domain.;"Internet service;commercial platform;DevOps;service release;metamodel;elderly healthcare";;2021 IEEE International Conference on Web Services (ICWS);IEEE;1 - Novel Models for IoT;"elderly healthcare (validation domain); general O2O/IoT/Web API services";"rapid release; metamodel-driven deployment";not specified;Extends DevOps theory to rapid release of Internet services including IoT on commercial platforms, but IoT is one of several domains mentioned with limited depth on DevOps+IoT integration specifically.;2;2;2;0;2;
;Conference paper;C;1 - Novel Models for IoT;HIGH;5;Actuation Conflict Management in Internet of Things Systems DevOps: A Discrete Event Modeling and Simulation Approach;2,99;2;;;2;2;1;;0;;;2;2;1;;;;0;0;;0;;;;;;0;0;;4;8;5,98;HIGH;18;HIGH;HIGH;GOOD;SUFFICIENT;NO;NO;"Capocchi L.; Santucci J.-F.; Tigli J.-Y.; Gomnin T.; Lavirotte S.; Rocher G.";2025;10.1007/978-3-031-81900-1_12;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215304769&doi=10.1007%2f978-3-031-81900-1_12&partnerID=40&md5=4b37a7193b3c33a4e4a2bb98ebc80db5;In IoT DevOps, simulating actuation conflict management is crucial for enhancing conflict detection and resolution in concurrent IoT applications. This paper introduces a new discrete event modeling and simulation approach for IoT systems during the design phase. Its objectives are to identify potential conflicts arising from competing smart applications accessing shared actuators or physical properties and to validate actuation conflict management specifications aimed at resolving conflicts among concurrent access attempts to IoT devices. The formalism of discrete event system specification is employed to model IoT systems formally, incorporating an actuation conflict management simulation model. This aids designers in the resolution of actuation conflicts. © IFIP International Federation for Information Processing 2025.;;IFIP Advances in Information and Communication Technology;;;1 - Novel Models for IoT;smart applications with shared actuators (generic smart environment);"DevOps design-phase modeling; conflict-management simulation";DEVS formalism (simulation);Directly addresses IoT DevOps by proposing a discrete event modeling and simulation approach for actuation conflict management during the IoT DevOps design phase.;4;0;3;0;4;
;Article;J;6 - Security, Privacy and Risk Assessment.;LOW;6;Containerized Architecture Performance Analysis for IoT Framework Based on Enhanced Fire Prevention Case Study: Rwanda;3,33;2;;;3;3;1;1;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;5;10;6,66;MEDIUM;29;HIGH;HIGH;HIGH;SUFFICIENT;YES;YES;"Hitimana E.; Bajpai G.; Musabe R.; Sibomana L.; Jayavel K.";2022;10.3390/s22176462;https://www.scopus.com/pages/publications/85137560749?origin=resultslist;Nowadays, building infrastructures are pushed to become smarter in response to desires for the environmental comforts of living. Enhanced safety upgrades have begun taking advantage of new, evolving technologies. Normally, buildings are configured to respond to the safety concerns of the occupants. However, advanced Internet of Things (IoT) techniques, in combination with edge computing with lightweight virtualization technology, is being used to improve users’ comfort in their homes. It improves resource management and service isolation without affecting the deployment of heterogeneous hardware. In this research, a containerized architectural framework for support of multiple concurrent deployed IoT applications for smart buildings was proposed. The prototype developed used sensor networks as well as containerized microservices, centrally featuring the DevOps paradigm. The research proposed an occupant counting algorithm used to check occupants in and out. The proposed framework was tested in different academic buildings for data acquisition over three months. Different deployment architectures were tested to ensure the best cases based on efficiency and resource utilization. The acquired data was used for prediction purposes to aid occupant prediction for safety measures as considered by policymakers. © 2022 by the authors.;;Sensors;;;3 - System-Wide Orchestration of Software and Hardware;smart building fire-safety (occupant counting), Rwanda case study;"containerized microservices; DevOps-paradigm deployment";"containers (engine unspecified); sensor networks";Proposes a containerized microservices framework for IoT smart building applications featuring the DevOps paradigm, with empirical testing across deployment architectures, though DevOps depth is limited.;5;0;1;0;5;
;Conference paper;C;1 - Novel Models for IoT;HIGH;7;Evaluating the DevOps Reference Architecture for Multi-cloud IoT-Applications;3,33;1;1;;;1;1;;0;;;;0;0;;;;0;0;;0;;;;;;0;0;;26;26;3,33;HIGH;35;HIGH;HIGH;HIGH;SUFFICIENT;YES;YES;"Bou Ghantous G.; Gill A.Q.";2021;10.1007/s42979-021-00519-6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112098751&doi=10.1007%2fs42979-021-00519-6&partnerID=40&md5=60d5efddb0f5874b6adfb2cd3527f1d1;"DevOps originated in the context of the agile development aims to enable the continuous deployment of software applications in small releases. Most recently, organizations are taking a significant interest in adopting DevOps for automatically deploying IoT applications to multi-cloud. The interest is there; however, the challenge is how to achieve this. A new DevOps reference architecture (DRA) framework has been iteratively developed to address this challenge. This paper presents the updated DRA framework and its empirical evaluation results. The empirical evaluation is composed of two phases: (1) industry case study evaluation conducted in an IT organization, and (2) industry field survey with a cohort of experts in software engineering. The evaluation aims to determine the applicability and novelty of the DRA framework. The evaluation results indicate that the DRA is fit for its intended purpose and is expected to help both researchers and practitioners. The DRA uses can architect complex design models for the purpose of supporting the automated development stage of software applications. Software engineers can implement the DRA models for deploying complex IoT application to the multi-cloud environment in the current organization development parameters. © 2021, The Author(s).";;SN Computer Science;;;1 - Novel Models for IoT;multi-cloud IoT application deployment (industry case study + expert survey);"DevOps reference architecture; automated deployment";not specified;Presents and empirically evaluates a DevOps reference architecture framework specifically designed for deploying IoT applications to multi-cloud environments.;14;14;0;0;26;
;Conference paper;C;1 - Novel Models for IoT;MEDIUM;8;FREEDA: Failure-Resilient, Energy-aware, and Explainable Deployment of Microservice-based Applications over Cloud-IoT Infrastructures;1,99;2;;;2;2;1;;0;;;2;2;1;;;;0;0;;0;;;;;;0;0;-1;3;6;3,98;MEDIUM;7;HIGH;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"Vitali M.; Soldani J.; Amadini R.; Brogi A.; Forti S.; Gazza S.; Giallorenzo S.; Plebani P.; Ponce F.; Zavattaro G.";2024;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195213536&partnerID=40&md5=afdfee12fd37739ecbc0e45015517607;FREEDA is an Italian research project aimed at supporting DevOps engineers in achieving failure-resilient and environmentally sustainable deployments of microservice-based applications over the Cloud-edge computing continuum. In this article, we describe motivations, objectives and first results of the FREEDA project, and discuss how FREEDA relates to the Information Systems Engineering community. © 2024 Copyright for this paper by its authors.;;CEUR Workshop Proceedings;;;3 - System-Wide Orchestration of Software and Hardware;cloud-edge computing continuum (general);"failure-resilient & sustainable deployment; DevOps engineering support";not specified (early-stage project);Describes a research project supporting DevOps engineers in deploying microservice applications over Cloud-IoT infrastructures, with relevant motivations and early results.;3;0;0;0;3;
;Article;J;1 - Novel Models for IoT;LOW;10;Private LTE Network Service Management Model, based on Agile Methodologies, for Big Mining Companies;3,33;2;;;3;3;1;2;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;1;2;6,66;MEDIUM;7;HIGH;HIGH;HIGH;SUFFICIENT;YES;YES;"Valdivia-Bedregal, J; Bedregal-Alpaca, N; Castañeda-Huaman, E";2021;;;"Information technology (IT) services must generate added value for any business, either by enhancing its processes, automating its activities, or managing its resources. Using Long Term Evolution (LTE) Networks, IoT solutions and devices are able to be deployed in order to prevent safety incidents and or to online monitor performance and maintenance indicators produced by field equipment. Under the same context, implementing a private LTE network Service Management Model becomes a basic need for any company. Proposed Service Management model must be flexible enough to changes in order to accomplish high productivity demands like the ones that a Big Mining Company requires. Proposed model is based on Information Technology Infrastructure Library (ITIL) as the best known, disseminated and proven framework; additionally, it uses well known agile methodologies such as Scrum and DevOps. Along with the deployment for each of the proposed stages, a visual scheme is generated which, when it comes to a conclusion at the final stage, allows to visualize model interactions in its entirety. In addition to describing the expected results, model validation has been accomplished by an expert panel judgment under the developed topic. As a conclusion, proposed model involves a holistic approach, that is, a comprehensive approach that addresses various aspects of service management supported by a private LTE platform. © 2021";;International Journal of Advanced Computer Science and Applications;;;1 - Novel Models for IoT;private LTE IoT deployments, big mining companies;"Scrum; DevOps; ITIL-based service management";not specified (LTE network mgmt platform);Proposes a service management model combining DevOps, Scrum, and ITIL for LTE-based IoT deployments in mining, addressing DevOps as a strategic enabler for IoT solutions, though depth on DevOps+IoT integration is limited.;1;0;1;0;1;
;Conference paper;C;1 - Novel Models for IoT;HIGH;11;A reference architecture for the container ecosystem;2,32;2;;;1;1;1;;0;;;;0;0;;;;0;0;;0;;;;2;;2;1;;22;44;4,64;40;6;HIGH;SUFFICIENT;GOOD;SUFFICIENT;NO;YES;"Syed, MH; Fernandez, EB";2019;10.1145/3230833.3232854;;;;;;WOS;1 - Novel Models for IoT;"container ecosystem (no abstract available; low confidence)";containerization reference architecture;not specified;;10;0;5;16;22;
;Conference paper;C;1 - Novel Models for IoT;LOW;12;Cloud Ecosystems Support for Internet of Things and DevOps Using Patterns;1,32;1;;;1;1;1;;0;;;;0;0;;;;0;0;;0;;;;;;0;0;;16;16;1,32;MEDIUM;4;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"M. H. Syed; E. B. Fernandez";2016;10.1109/IoTDI.2015.31;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7471379;An ecosystem is the expansion of a software product line architecture to include systems outside the product which interact with the product. A cloud ecosystem includes interdependent and communicating components. Not only the cloud ecosystem itself keeps evolving, but it also affects the way in which we develop and deploy software. We model the architecture of a cloud ecosystem as a set of patterns, showing partial descriptions for some of them. We then discuss the role of this evolving platform in facilitating the Internet of Things and the new DevOps framework for developing software.;"Software ecosystems;Internet of Things;cloud computing;fog computing;software containers;DevOps;reference architectures";;2016 IEEE First International Conference on Internet-of-Things Design and Implementation (IoTDI);IEEE;1 - Novel Models for IoT;cloud ecosystem supporting IoT generally (architectural patterns);DevOps framework enablement via reference architecture patterns;not specified;Discusses cloud ecosystem patterns that facilitate both IoT and DevOps, but the treatment of their integration is architectural and relatively high-level without deep empirical evidence.;15;12;9;0;16;
